feature,mean_abs_shap
r9_p0p0_d0_std,0.13333542230340534
r12_p0p0_d0_std,0.10575027116655879
r9_p0p0_d0_max,0.06761175204012511
r12_p0p0_d0_min,0.055615694152664145
r6_p0p0_d0_std,0.043995461316315994
r12_p0p0_d0_mean,0.04353517293925765
r12_p0p0_d0_max,0.04212662650369805
r12_p0p0_d0_median,0.03747829612722702
r9_p0p0_d0_min,0.02238890715139896
r6_p0p0_d0_max,0.019765539978022526
r9_p0p0_d0_mean,0.01436071052460342
r6_p0p0_d0_min,0.013724747614240636
r6_p0p0_d0_median,0.008108378042726171
r9_p0p0_d0_median,0.007758117877124286
r6_p0p0_d0_mean,0.005991867529574943
r6_p0p0_d0_zeros,3.994146585229586e-05
r9_p0p0_d0_zeros,0.0
r12_p0p0_d0_zeros,0.0
