protocol,mode,fold,n_train_proteins,n_test_proteins,n_train_residues,n_test_residues,fit_predict_seconds
cluster,graph+center0,1,293,71,62719,15681,13.172000000020489
cluster,graph+center0,2,292,72,62720,15680,12.73499999998603
cluster,graph+center0,3,288,76,62721,15679,13.625
cluster,graph+center0,4,292,72,62720,15680,14.327999999979511
cluster,graph+center0,5,291,73,62720,15680,13.15600000001723
cluster,graph,1,293,71,62719,15681,6.921999999962281
cluster,graph,2,292,72,62720,15680,6.922000000020489
cluster,graph,3,288,76,62721,15679,8.28100000001723
cluster,graph,4,292,72,62720,15680,8.686999999976251
cluster,graph,5,291,73,62720,15680,8.827999999979511
cluster,native0,1,293,71,62719,15681,8.59399999998277
cluster,native0,2,292,72,62720,15680,8.172000000020489
cluster,native0,3,288,76,62721,15679,10.28100000001723
cluster,native0,4,292,72,62720,15680,8.264999999955762
cluster,native0,5,291,73,62720,15680,8.860000000044238
cluster,graph+native0,1,293,71,62719,15681,11.875
cluster,graph+native0,2,292,72,62720,15680,12.079000000027008
cluster,graph+native0,3,288,76,62721,15679,10.577999999979511
cluster,graph+native0,4,292,72,62720,15680,11.187000000034459
cluster,graph+native0,5,291,73,62720,15680,10.812999999965541
cluster,center0,1,293,71,62719,15681,14.922000000020489
cluster,center0,2,292,72,62720,15680,12.64100000000326
cluster,center0,3,288,76,62721,15679,13.702999999979511
cluster,center0,4,292,72,62720,15680,13.686999999976251
cluster,center0,5,291,73,62720,15680,14.954000000027008
cluster,graph+identity0,1,293,71,62719,15681,20.79700000002049
cluster,graph+identity0,2,292,72,62720,15680,22.07799999997951
cluster,graph+identity0,3,288,76,62721,15679,22.31300000002375
cluster,graph+identity0,4,292,72,62720,15680,16.71799999999348
cluster,graph+identity0,5,291,73,62720,15680,18.71899999998277
cluster,graph+geometric0,1,293,71,62719,15681,19.75
cluster,graph+geometric0,2,292,72,62720,15680,18.60899999999674
cluster,graph+geometric0,3,288,76,62721,15679,15.702999999979511
cluster,graph+geometric0,4,292,72,62720,15680,15.547000000020489
cluster,graph+geometric0,5,291,73,62720,15680,15.48499999998603
protein,graph+center0,1,293,71,62720,15680,16.65700000000652
protein,graph+center0,2,292,72,62720,15680,15.60899999999674
protein,graph+center0,3,291,73,62720,15680,15.719000000040978
protein,graph+center0,4,290,74,62719,15681,16.21899999998277
protein,graph+center0,5,290,74,62721,15679,17.21799999999348
protein,graph,1,293,71,62720,15680,8.047000000020489
protein,graph,2,292,72,62720,15680,8.030999999959022
protein,graph,3,291,73,62720,15680,8.063000000023749
protein,graph,4,290,74,62719,15681,7.922000000020489
protein,graph,5,290,74,62721,15679,8.10899999999674
protein,native0,1,293,71,62720,15680,8.21899999998277
protein,native0,2,292,72,62720,15680,8.34399999998277
protein,native0,3,291,73,62720,15680,8.328000000037719
protein,native0,4,290,74,62719,15681,8.5
protein,native0,5,290,74,62721,15679,8.375
protein,graph+native0,1,293,71,62720,15680,10.561999999976251
protein,graph+native0,2,292,72,62720,15680,10.78200000000652
protein,graph+native0,3,291,73,62720,15680,11.59299999999348
protein,graph+native0,4,290,74,62719,15681,10.73499999998603
protein,graph+native0,5,290,74,62721,15679,11.875
protein,center0,1,293,71,62720,15680,12.64100000000326
protein,center0,2,292,72,62720,15680,13.546999999962281
protein,center0,3,291,73,62720,15680,12.812000000034459
protein,center0,4,290,74,62719,15681,12.687999999965541
protein,center0,5,290,74,62721,15679,12.562000000034459
protein,graph+identity0,1,293,71,62720,15680,15.84399999998277
protein,graph+identity0,2,292,72,62720,15680,15.65600000001723
protein,graph+identity0,3,291,73,62720,15680,16.26600000000326
protein,graph+identity0,4,290,74,62719,15681,16.45299999997951
protein,graph+identity0,5,290,74,62721,15679,17.625
protein,graph+geometric0,1,293,71,62720,15680,17.28100000001723
protein,graph+geometric0,2,292,72,62720,15680,15.60899999999674
protein,graph+geometric0,3,291,73,62720,15680,15.96899999998277
protein,graph+geometric0,4,290,74,62719,15681,16.54700000002049
protein,graph+geometric0,5,290,74,62721,15679,16.34399999998277
