protocol,left_mode,right_mode,difference,metric,n_pairs,mean_difference,ci95_low,ci95_high
cluster,graph+center0,graph,right_minus_left,pcc,364,-0.0017547952703905814,-0.004390502421277703,0.0009194212871387761
cluster,graph+center0,graph,right_minus_left,spearman,364,-0.003850571312483144,-0.007573204658721084,-0.00024357816619822585
cluster,graph+center0,graph,right_minus_left,rmse_z,364,0.003319781223524237,0.00046321041367058794,0.0063069755293549065
cluster,graph+center0,native0,right_minus_left,pcc,364,-0.015972173177410176,-0.022745607296512454,-0.009939245609069338
cluster,graph+center0,native0,right_minus_left,spearman,364,-0.009050841645417147,-0.014878426482416737,-0.0035494940452580944
cluster,graph+center0,native0,right_minus_left,rmse_z,364,0.06147077805747116,0.047528464035577915,0.07749414712404655
cluster,graph+center0,graph+native0,right_minus_left,pcc,364,0.0011690945108110565,-0.0016713910929516936,0.003891575266632916
cluster,graph+center0,graph+native0,right_minus_left,spearman,364,0.0010964179504867689,-0.0024762063320382262,0.004624814198525522
cluster,graph+center0,graph+native0,right_minus_left,rmse_z,364,0.0005978037208462471,-0.0016362065196487289,0.0029870148420309034
cluster,graph+center0,center0,right_minus_left,pcc,364,-0.062146955183004546,-0.07192919166353812,-0.053317983794005604
cluster,graph+center0,center0,right_minus_left,spearman,364,-0.049469987070047045,-0.05793315636549854,-0.041703447664659936
cluster,graph+center0,center0,right_minus_left,rmse_z,364,0.09210149503693689,0.07823134179810068,0.10718015371401733
cluster,graph+center0,graph+identity0,right_minus_left,pcc,364,0.0021617873454815536,0.0002523438658922958,0.004308649942782579
cluster,graph+center0,graph+identity0,right_minus_left,spearman,364,0.0028963209883430853,-0.00044737536657928257,0.0063933182435617405
cluster,graph+center0,graph+identity0,right_minus_left,rmse_z,364,-0.0013818371587767764,-0.0031464666297773627,0.00029402631130394065
cluster,graph+center0,graph+geometric0,right_minus_left,pcc,364,0.0033015379030983377,0.0013106819268811256,0.005180125940156817
cluster,graph+center0,graph+geometric0,right_minus_left,spearman,364,0.005696527848752442,0.0031337764548790654,0.008516190046113967
cluster,graph+center0,graph+geometric0,right_minus_left,rmse_z,364,-0.0010007389961649907,-0.0025982433747700384,0.0007396211751036065
cluster,graph,native0,right_minus_left,pcc,364,-0.014217377907019595,-0.021357400385585888,-0.007748603508270306
cluster,graph,native0,right_minus_left,spearman,364,-0.005200270332934002,-0.011195333746255892,0.00024330050666118044
cluster,graph,native0,right_minus_left,rmse_z,364,0.05815099683394693,0.04415814552960454,0.0734856387431233
cluster,graph,graph+native0,right_minus_left,pcc,364,0.0029238897812016384,0.00020408080498805344,0.005507658733472951
cluster,graph,graph+native0,right_minus_left,spearman,364,0.004946989262969913,0.00229101031216392,0.007671752844791392
cluster,graph,graph+native0,right_minus_left,rmse_z,364,-0.0027219775026779895,-0.0053430639330649034,-0.0003961227576555317
cluster,graph,center0,right_minus_left,pcc,364,-0.06039215991261395,-0.07105819123146094,-0.050529264251876045
cluster,graph,center0,right_minus_left,spearman,364,-0.045619415757563904,-0.05546123704749043,-0.03654179758432141
cluster,graph,center0,right_minus_left,rmse_z,364,0.08878171381341267,0.07475405735691881,0.10333906101502423
cluster,graph,graph+identity0,right_minus_left,pcc,364,0.0039165826158721355,0.0010674093090391342,0.00667244771989879
cluster,graph,graph+identity0,right_minus_left,spearman,364,0.00674689230082623,0.0031016214150614537,0.010501035723041785
cluster,graph,graph+identity0,right_minus_left,rmse_z,364,-0.004701618382301013,-0.007104784692730966,-0.002376737685710724
cluster,graph,graph+geometric0,right_minus_left,pcc,364,0.005056333173488919,0.0024274100580340793,0.007610378981541816
cluster,graph,graph+geometric0,right_minus_left,spearman,364,0.009547099161235586,0.005967734403868087,0.013203293670052029
