protocol,mode,n_proteins,n_clusters,n_residues,mean_pcc,pcc_ci95_low,pcc_ci95_high,n_valid_pcc,mean_spearman,spearman_ci95_low,spearman_ci95_high,n_valid_spearman,mean_rmse_z,rmse_z_ci95_low,rmse_z_ci95_high,n_valid_rmse_z,pooled_pcc,pooled_spearman,pooled_rmse_z
cluster,graph+center0,364,349,78400,0.6272352421846351,0.6133102474833679,0.6408660188767703,364,0.608562664445675,0.593193417133291,0.6233361760599967,364,0.7836949441214159,0.7730985328808364,0.794180981502825,364,0.6197616360646764,0.6242646750686919,0.7848890226402998
cluster,graph,364,349,78400,0.6254804469142445,0.6110713533796418,0.6390838549349054,364,0.6047120931331919,0.589723097911078,0.6194056378818883,364,0.7870147253449401,0.776560748866755,0.7980391546732426,364,0.6091224674372921,0.6111477586722376,0.7937607930559198
cluster,native0,364,349,78400,0.6112630690072248,0.596992161356909,0.62497053683468,364,0.5995118228002578,0.5829431103057979,0.6152660331884807,364,0.8451657221788871,0.8277058857035009,0.8638675106172339,364,0.5902336954628467,0.5884922715899775,0.8072835735756624
cluster,graph+native0,364,349,78400,0.6284043366954462,0.6144386474333153,0.6417918798762609,364,0.6096590823961617,0.5948239239494872,0.624603376474377,364,0.7842927478422622,0.7733549418582483,0.7953755148498348,364,0.6144950786158772,0.6146742692448082,0.7892969392103746
cluster,center0,364,349,78400,0.5650882870016305,0.5496178091145502,0.5800355530494083,364,0.559092677375628,0.5421933960227213,0.5761656740535062,364,0.8757964391583527,0.8589126235092702,0.8933734314332994,364,0.5447925510368838,0.5439325236726513,0.838772236106489
cluster,graph+identity0,364,349,78400,0.6293970295301167,0.6154922520006013,0.6434330817921083,364,0.6114589854340181,0.5964125971263006,0.6259185047111284,364,0.7823131069626392,0.7716801420173318,0.7929527718052316,364,0.6224470736646391,0.6230808964826385,0.7827503773080432
cluster,graph+geometric0,364,349,78400,0.6305367800877334,0.6165072972412567,0.6442724793297282,364,0.6142591922944274,0.5995395244054462,0.6288840013151267,364,0.782694205125251,0.7721446315890383,0.793606408868218,364,0.6215761891189913,0.6246398882778321,0.7834699933213858
protein,graph+center0,364,349,78400,0.6242854118436367,0.6103867432894174,0.637995071164388,364,0.6080328655191545,0.5925631309259491,0.6230944012719737,364,0.7859628875811545,0.775158684225861,0.7967901180262753,364,0.6169203262453307,0.6232262452717828,0.7871772441758871
protein,graph,364,349,78400,0.6220006368549434,0.6083691255226519,0.6355175324550411,364,0.6018413268575522,0.5855921111459662,0.6168752357174366,364,0.7888948500372521,0.7777963308921525,0.7999299701116865,364,0.6068756537041944,0.611210389194721,0.7955992208785289
protein,native0,364,349,78400,0.6085005874327153,0.5937391066817207,0.6225177173854612,364,0.5977673401964271,0.5811100731659784,0.6137338102145572,364,0.8476787544157895,0.8303898279860992,0.8662535128813627,364,0.5885959937180549,0.586813517505009,0.8084837406436751
protein,graph+native0,364,349,78400,0.6256952980845945,0.6118045638417279,0.6390331982623354,364,0.607181269776496,0.5913508562210252,0.6220225895085173,364,0.7862284097119002,0.7753538418422011,0.7975676036971103,364,0.6116745734865581,0.6140683319024157,0.7916387078625992
protein,center0,364,349,78400,0.5595632302625573,0.5429502007523112,0.5755445564496406,364,0.5544240440815275,0.5345570189502629,0.5725337349153211,364,0.8774798762209919,0.8610374423869641,0.895152766288446,364,0.5449251798596908,0.5441812967003861,0.8386848722105368
protein,graph+identity0,364,349,78400,0.6252757096355964,0.6113567628552806,0.6390842498322573,364,0.6079935558920933,0.5915876548081477,0.6233651778416054,364,0.7850969594059577,0.7740906073606476,0.7960022470572441,364,0.6184975385806573,0.6218533417832294,0.7859076506677327
protein,graph+geometric0,364,349,78400,0.6259865687724324,0.6123162831065586,0.6394855956469627,364,0.6096394815608202,0.5937894235163349,0.6247711491490922,364,0.7849176121244313,0.7741897943262495,0.7956638794586519,364,0.6173155546678308,0.6238200510196941,0.7869152286630597
