protocol,mode,fold,n_train_proteins,n_test_proteins,n_train_residues,n_test_residues,fit_predict_seconds
cluster,graph+identity0,1,293,71,62719,15681,16.92199999996228
cluster,graph+identity0,2,292,72,62720,15680,18.45300000003772
cluster,graph+identity0,3,288,76,62721,15679,15.327999999979511
cluster,graph+identity0,4,292,72,62720,15680,17.26600000000326
cluster,graph+identity0,5,291,73,62720,15680,16.28100000001723
cluster,graph+identity0+identity1,1,293,71,62719,15681,17.54700000002049
cluster,graph+identity0+identity1,2,292,72,62720,15680,17.23499999998603
cluster,graph+identity0+identity1,3,288,76,62721,15679,21.375
cluster,graph+identity0+identity1,4,292,72,62720,15680,19.29700000002049
cluster,graph+identity0+identity1,5,291,73,62720,15680,17.625
cluster,graph+identity0+identity_p1,1,293,71,62719,15681,17.25
cluster,graph+identity0+identity_p1,2,292,72,62720,15680,17.42200000002049
cluster,graph+identity0+identity_p1,3,288,76,62721,15679,20.01600000000326
cluster,graph+identity0+identity_p1,4,292,72,62720,15680,18.78100000001723
cluster,graph+identity0+identity_p1,5,291,73,62720,15680,19.29699999996228
cluster,graph+identity0+identity_upper1,1,293,71,62719,15681,17.59399999998277
cluster,graph+identity0+identity_upper1,2,292,72,62720,15680,18.53100000001723
cluster,graph+identity0+identity_upper1,3,288,76,62721,15679,20.14100000000326
cluster,graph+identity0+identity_upper1,4,292,72,62720,15680,18.10899999999674
cluster,graph+identity0+identity_upper1,5,291,73,62720,15680,18.54699999996228
cluster,graph+geometric0,1,293,71,62719,15681,16.81199999997625
cluster,graph+geometric0,2,292,72,62720,15680,16.17200000002049
cluster,graph+geometric0,3,288,76,62721,15679,15.875
cluster,graph+geometric0,4,292,72,62720,15680,19.34399999998277
cluster,graph+geometric0,5,291,73,62720,15680,17.875
cluster,graph+geometric0+geometric1,1,293,71,62719,15681,19.43800000002375
cluster,graph+geometric0+geometric1,2,292,72,62720,15680,19.375
cluster,graph+geometric0+geometric1,3,288,76,62721,15679,18.96799999999348
cluster,graph+geometric0+geometric1,4,292,72,62720,15680,18.67200000002049
cluster,graph+geometric0+geometric1,5,291,73,62720,15680,18.56299999996554
cluster,graph+geometric0+geometric_p1,1,293,71,62719,15681,19.06300000002375
cluster,graph+geometric0+geometric_p1,2,292,72,62720,15680,18.60899999999674
cluster,graph+geometric0+geometric_p1,3,288,76,62721,15679,18.96899999998277
cluster,graph+geometric0+geometric_p1,4,292,72,62720,15680,18.43699999997625
cluster,graph+geometric0+geometric_p1,5,291,73,62720,15680,18.92200000002049
cluster,graph+geometric0+geometric_upper1,1,293,71,62719,15681,20.29599999997299
cluster,graph+geometric0+geometric_upper1,2,292,72,62720,15680,18.43800000002375
cluster,graph+geometric0+geometric_upper1,3,288,76,62721,15679,21.07799999997951
cluster,graph+geometric0+geometric_upper1,4,292,72,62720,15680,24.42200000002049
cluster,graph+geometric0+geometric_upper1,5,291,73,62720,15680,20.59399999998277
cluster,graph+center0,1,293,71,62719,15681,17.71799999999348
cluster,graph+center0,2,292,72,62720,15680,21.04700000002049
cluster,graph+center0,3,288,76,62721,15679,22.125
cluster,graph+center0,4,292,72,62720,15680,17.54699999996228
cluster,graph+center0,5,291,73,62720,15680,17.43800000002375
cluster,graph+center0+center1,1,293,71,62719,15681,18.09399999998277
cluster,graph+center0+center1,2,292,72,62720,15680,18.90600000001723
cluster,graph+center0+center1,3,288,76,62721,15679,19.030999999959022
cluster,graph+center0+center1,4,292,72,62720,15680,18.76600000000326
cluster,graph+center0+center1,5,291,73,62720,15680,18.10899999999674
cluster,graph+center0+center_p1,1,293,71,62719,15681,17.98399999999674
cluster,graph+center0+center_p1,2,292,72,62720,15680,18.29700000002049
cluster,graph+center0+center_p1,3,288,76,62721,15679,18.92200000002049
cluster,graph+center0+center_p1,4,292,72,62720,15680,19.79699999996228
cluster,graph+center0+center_p1,5,291,73,62720,15680,21.07800000003772
cluster,graph+center0+center_upper1,1,293,71,62719,15681,18.71899999998277
cluster,graph+center0+center_upper1,2,292,72,62720,15680,23.85899999999674
cluster,graph+center0+center_upper1,3,288,76,62721,15679,18.28100000001723
cluster,graph+center0+center_upper1,4,292,72,62720,15680,20.65700000000652
cluster,graph+center0+center_upper1,5,291,73,62720,15680,26.17099999997299
