protocol,left_mode,right_mode,difference,metric,n_pairs,mean_difference,ci95_low,ci95_high
cluster,graph+identity0,graph+identity0+identity1,right_minus_left,pcc,364,0.00018069051398658984,-0.0010610614772299616,0.0014513562178871604
cluster,graph+identity0,graph+identity0+identity1,right_minus_left,spearman,364,0.0004832347671951584,-0.0016005742545610402,0.0026985410869130267
cluster,graph+identity0,graph+identity0+identity1,right_minus_left,rmse_z,364,0.001188479559770464,-0.0001505124457669349,0.002762980263467668
cluster,graph+identity0,graph+identity0+identity_p1,right_minus_left,pcc,364,-0.00018799426127174662,-0.0015312458867246439,0.001060700128031705
cluster,graph+identity0,graph+identity0+identity_p1,right_minus_left,spearman,364,0.000617058941574723,-0.0015601969656787325,0.002827517206630706
cluster,graph+identity0,graph+identity0+identity_p1,right_minus_left,rmse_z,364,0.0009172428823281346,-0.00017056248087362857,0.0022226309767504407
cluster,graph+identity0,graph+identity0+identity_upper1,right_minus_left,pcc,364,-0.00020747330680590965,-0.0014768388808121904,0.0011552739394141667
cluster,graph+identity0,graph+identity0+identity_upper1,right_minus_left,spearman,364,0.0018307775171617013,-0.00022583789485084444,0.004023653392568074
cluster,graph+identity0,graph+identity0+identity_upper1,right_minus_left,rmse_z,364,0.0009255908888485332,-0.00028544944422664154,0.002191491794056358
cluster,graph+identity0,graph+geometric0,right_minus_left,pcc,364,0.0011397505576167784,-0.0007793305501511983,0.0031609372598825763
cluster,graph+identity0,graph+geometric0,right_minus_left,spearman,364,0.0028002068604093566,0.00016356639626856437,0.005557386711488076
cluster,graph+identity0,graph+geometric0,right_minus_left,rmse_z,364,0.000381098162611787,-0.001053310659208567,0.0019386589419490895
cluster,graph+identity0,graph+geometric0+geometric1,right_minus_left,pcc,364,0.0005028482539930598,-0.0014618808094174183,0.0024787433646614476
cluster,graph+identity0,graph+geometric0+geometric1,right_minus_left,spearman,364,0.001653186561580817,-0.0009597112239073432,0.0043712129923901485
cluster,graph+identity0,graph+geometric0+geometric1,right_minus_left,rmse_z,364,0.0019630342247134113,0.00018630048235682872,0.0039025716787134614
cluster,graph+identity0,graph+geometric0+geometric_p1,right_minus_left,pcc,364,0.0005891465030035306,-0.0015512369276973036,0.002615740002719132
cluster,graph+identity0,graph+geometric0+geometric_p1,right_minus_left,spearman,364,-3.725939289255194e-05,-0.003351423131039765,0.003084588909310599
cluster,graph+identity0,graph+geometric0+geometric_p1,right_minus_left,rmse_z,364,0.0021416936552809012,0.0003831514334570602,0.004176335425849913
cluster,graph+identity0,graph+geometric0+geometric_upper1,right_minus_left,pcc,364,-0.0005528488937273876,-0.00251947135539496,0.0014117332030846126
cluster,graph+identity0,graph+geometric0+geometric_upper1,right_minus_left,spearman,364,-5.492803395178022e-07,-0.0032973625996413677,0.0030749268235707315
cluster,graph+identity0,graph+geometric0+geometric_upper1,right_minus_left,rmse_z,364,0.002484586074959887,0.0006382311225855027,0.004386945212240106
cluster,graph+identity0,graph+center0,right_minus_left,pcc,364,-0.002161787345481554,-0.004308649942782593,-0.0002523438658923025
cluster,graph+identity0,graph+center0,right_minus_left,spearman,364,-0.0028963209883430853,-0.006393318243561742,0.00044737536657927927
cluster,graph+identity0,graph+center0,right_minus_left,rmse_z,364,0.0013818371587767835,-0.00029402631130393637,0.0031464666297773653
cluster,graph+identity0,graph+center0+center1,right_minus_left,pcc,364,-0.0025632267113742373,-0.0049506942553413855,-0.00037472185075151915
