protocol,mode,n_proteins,n_clusters,n_residues,mean_pcc,pcc_ci95_low,pcc_ci95_high,n_valid_pcc,mean_spearman,spearman_ci95_low,spearman_ci95_high,n_valid_spearman,mean_rmse_z,rmse_z_ci95_low,rmse_z_ci95_high,n_valid_rmse_z,pooled_pcc,pooled_spearman,pooled_rmse_z
cluster,graph+identity0,364,349,78400,0.6293970295301167,0.6154922520006013,0.6434330817921083,364,0.6114589854340181,0.5964125971263006,0.6259185047111284,364,0.7823131069626392,0.7716801420173318,0.7929527718052316,364,0.6224470736646391,0.6230808964826385,0.7827503773080432
cluster,graph+identity0+identity1,364,349,78400,0.6295777200441033,0.615814003708867,0.6432898284087603,364,0.6119422202012131,0.5971030237074157,0.6264221813939522,364,0.7835015865224096,0.7727847823375357,0.7942778677688128,364,0.6214073099278877,0.6218853936343187,0.7835594201015357
cluster,graph+identity0+identity_p1,364,349,78400,0.6292090352688449,0.6153699046748494,0.6430173159494954,364,0.6120760443755927,0.5968485764605033,0.6266166187480313,364,0.7832303498449673,0.7724365415935355,0.7939375591714734,364,0.6228425457812725,0.6238955218499785,0.7824115886908563
cluster,graph+identity0+identity_upper1,364,349,78400,0.6291895562233109,0.6151058561071715,0.6428270112232813,364,0.6132897629511797,0.598347891050503,0.6276892816241076,364,0.7832386978514877,0.7724835607533027,0.7941332907081208,364,0.6225325073397909,0.6240754062560706,0.7826739695188853
cluster,graph+geometric0,364,349,78400,0.6305367800877335,0.616507297241257,0.6442724793297282,364,0.6142591922944274,0.5995395244054462,0.6288840013151267,364,0.782694205125251,0.7721446315890383,0.793606408868218,364,0.6215761891189913,0.6246398882778321,0.7834699933213858
cluster,graph+geometric0+geometric1,364,349,78400,0.6298998777841097,0.6162399935155818,0.643438320405726,364,0.6131121719955989,0.5983525446538069,0.627721034562455,364,0.7842761411873526,0.7735859023466284,0.7948976165765705,364,0.6217956486512334,0.6240600020979037,0.7832690276292186
cluster,graph+geometric0+geometric_p1,364,349,78400,0.6299861760331202,0.615935563949105,0.6437450474378648,364,0.6114217260411255,0.5960395092756985,0.6266670046369455,364,0.7844548006179201,0.773428463914283,0.7952735090003404,364,0.6221967557537441,0.6250108696610303,0.782966329115908
cluster,graph+geometric0+geometric_upper1,364,349,78400,0.6288441806363892,0.6148341975240984,0.6425501282282068,364,0.6114584361536786,0.5964126342050495,0.6261332805614502,364,0.7847976930375992,0.7739648368971327,0.7955668109940571,364,0.6219749736479059,0.6246629655578584,0.7831399228761441
cluster,graph+center0,364,349,78400,0.6272352421846351,0.6133102474833679,0.6408660188767704,364,0.608562664445675,0.593193417133291,0.6233361760599967,364,0.7836949441214159,0.7730985328808364,0.794180981502825,364,0.6197616360646764,0.6242646750686919,0.7848890226402998
cluster,graph+center0+center1,364,349,78400,0.6268338028187423,0.6129499788317393,0.6405177781053173,364,0.6087601285033545,0.5934620025001022,0.6239596477281207,364,0.785372220563965,0.7741468595299746,0.796208207351974,364,0.6207686583915248,0.6230196316829804,0.7840826692146439
cluster,graph+center0+center_p1,364,349,78400,0.6272570489621286,0.6132542484615425,0.6409356404099954,364,0.6103110097202004,0.5951027498546627,0.6254940414651738,364,0.785114161664698,0.774214566330516,0.7958506749735275,364,0.6205618015880721,0.6234903244213887,0.7842480689556721
cluster,graph+center0+center_upper1,364,349,78400,0.6277829397559181,0.613722317014038,0.6412197455746619,364,0.6112645906860215,0.5965180753334679,0.6259647863206633,364,0.7844180923508725,0.77357646906753,0.7952205391530438,364,0.620614639258637,0.6239719018132907,0.7842166155610446
