construction,block,degree,kind,lower_radius_angstrom,upper_radius_angstrom,n_neighborhoods,n_zero,n_nonzero,fraction_zero,fraction_nonzero,mean_nullity,median_nullity,max_nullity,min_nullity
identity,identity0,0,ordinary,3,3,78400,0,78400,0.0,1.0,1.7498214285714286,1.0,8,1
identity,identity0,0,ordinary,4,4,78400,0,78400,0.0,1.0,1.0581377551020408,1.0,5,1
identity,identity0,0,ordinary,5,5,78400,0,78400,0.0,1.0,1.0066836734693878,1.0,4,1
identity,identity0,0,ordinary,6,6,78400,0,78400,0.0,1.0,1.0007015306122449,1.0,2,1
identity,identity1,1,ordinary_lower,3,3,78400,5188,73212,0.0661734693877551,0.9338265306122449,5.167793367346939,4.0,37,0
identity,identity1,1,ordinary_lower,5,5,78400,51298,27102,0.654311224489796,0.3456887755102041,0.5580867346938776,0.0,9,0
identity,identity_p1,1,persistent,3,4,78400,55995,22405,0.7142219387755102,0.2857780612244898,0.36002551020408163,0.0,5,0
identity,identity_p1,1,persistent,5,6,78400,78117,283,0.9963903061224489,0.0036096938775510203,0.003711734693877551,0.0,2,0
identity,identity_upper1,1,ordinary_upper,4,4,78400,12796,65604,0.1632142857142857,0.8367857142857142,3.1019132653061225,3.0,22,0
identity,identity_upper1,1,ordinary_upper,6,6,78400,75875,2525,0.9677933673469388,0.03220663265306122,0.03895408163265306,0.0,5,0
geometric,geometric0,0,ordinary,3,3,78400,0,78400,0.0,1.0,1.7498214285714286,1.0,8,1
geometric,geometric0,0,ordinary,4,4,78400,0,78400,0.0,1.0,1.0581377551020408,1.0,5,1
geometric,geometric0,0,ordinary,5,5,78400,0,78400,0.0,1.0,1.0066836734693878,1.0,4,1
geometric,geometric0,0,ordinary,6,6,78400,0,78400,0.0,1.0,1.0007015306122449,1.0,2,1
geometric,geometric1,1,ordinary_lower,3,3,78400,5188,73212,0.0661734693877551,0.9338265306122449,5.167793367346939,4.0,37,0
geometric,geometric1,1,ordinary_lower,5,5,78400,51298,27102,0.654311224489796,0.3456887755102041,0.5580867346938776,0.0,9,0
geometric,geometric_p1,1,persistent,3,4,78400,55995,22405,0.7142219387755102,0.2857780612244898,0.36002551020408163,0.0,5,0
geometric,geometric_p1,1,persistent,5,6,78400,78117,283,0.9963903061224489,0.0036096938775510203,0.003711734693877551,0.0,2,0
geometric,geometric_upper1,1,ordinary_upper,4,4,78400,12796,65604,0.1632142857142857,0.8367857142857142,3.1019132653061225,3.0,22,0
geometric,geometric_upper1,1,ordinary_upper,6,6,78400,75875,2525,0.9677933673469388,0.03220663265306122,0.03895408163265306,0.0,5,0
center,center0,0,ordinary,3,3,78400,0,78400,0.0,1.0,1.8086352040816327,2.0,8,1
center,center0,0,ordinary,4,4,78400,0,78400,0.0,1.0,1.0610714285714287,1.0,5,1
center,center0,0,ordinary,5,5,78400,0,78400,0.0,1.0,1.0073086734693877,1.0,4,1
center,center0,0,ordinary,6,6,78400,0,78400,0.0,1.0,1.0011224489795918,1.0,2,1
center,center1,1,ordinary_lower,3,3,78400,4021,74379,0.051288265306122446,0.9487117346938776,5.392219387755102,5.0,38,0
center,center1,1,ordinary_lower,5,5,78400,44222,34178,0.5640561224489796,0.43594387755102043,0.7694005102040816,0.0,9,0
center,center_p1,1,persistent,3,4,78400,50009,28391,0.6378698979591837,0.3621301020408163,0.4814030612244898,0.0,6,0
center,center_p1,1,persistent,5,6,78400,76722,1678,0.9785969387755102,0.021403061224489796,0.02190051020408163,0.0,2,0
center,center_upper1,1,ordinary_upper,4,4,78400,10314,68086,0.1315561224489796,0.8684438775510204,3.4884438775510205,3.0,24,0
center,center_upper1,1,ordinary_upper,6,6,78400,73181,5219,0.9334311224489796,0.06656887755102041,0.07966836734693877,0.0,5,0
native_graph,native0,0,ordinary,6,6,78400,0,78400,0.0,1.0,1.0,1.0,1,1
native_graph,native0,0,ordinary,9,9,78400,0,78400,0.0,1.0,1.0,1.0,1,1
native_graph,native0,0,ordinary,12,12,78400,0,78400,0.0,1.0,1.0,1.0,1,1
