protein_a,protein_b,chain_a,chain_b,length_a,length_b,identity,coverage_shorter,coverage_a,coverage_b,aligned_pairs,score,edge_type
1OB4,1OB7,*,*,5,5,1.0,1.0,1.0,1.0,5,,exact_complete_record
1CCR,5CYT,A,R,109,103,0.5841584158415841,0.9805825242718447,0.926605504587156,0.9805825242718447,101,315.0,sequence_alignment
1ES5,3W4Q,A,A,260,258,0.32857142857142857,0.813953488372093,0.8076923076923077,0.813953488372093,210,81.5,sequence_alignment
1KR4,1UKU,A,A,110,102,0.47959183673469385,0.9607843137254902,0.8909090909090909,0.9607843137254902,98,256.0,sequence_alignment
1KR4,2NUH,A,A,110,104,0.3163265306122449,0.9423076923076923,0.8909090909090909,0.9423076923076923,98,127.0,sequence_alignment
1NOA,2MCM,A,A,113,112,0.4727272727272727,0.9821428571428571,0.9734513274336283,0.9821428571428571,110,250.0,sequence_alignment
1OPD,3IHS,A,B,85,84,0.37662337662337664,0.9166666666666666,0.9058823529411765,0.9166666666666666,77,156.0,sequence_alignment
1OPD,3MAB,A,A,85,85,0.3472222222222222,0.8470588235294118,0.8470588235294118,0.8470588235294118,72,46.5,sequence_alignment
1UKU,2NUH,A,A,102,104,0.35051546391752575,0.9509803921568627,0.9509803921568627,0.9326923076923077,97,149.0,sequence_alignment
1WBE,2Q52,A,A,204,206,0.3176470588235294,0.8333333333333334,0.8333333333333334,0.8252427184466019,170,185.5,sequence_alignment
1X3O,2EHS,A,A,80,75,0.6388888888888888,0.96,0.9,0.96,72,242.0,sequence_alignment
2C71,2VYO,A,A,205,206,0.30357142857142855,0.8195121951219512,0.8195121951219512,0.8155339805825242,168,132.5,sequence_alignment
2ETX,3L41,A,A,194,214,0.3202247191011236,0.9175257731958762,0.9175257731958762,0.8317757009345794,178,194.0,sequence_alignment
2FG1,4J5Q,A,A,157,146,0.3088235294117647,0.9315068493150684,0.8662420382165605,0.9315068493150684,136,110.5,sequence_alignment
2HQK,3E5T,A,A,213,228,0.4786729857819905,0.9906103286384976,0.9906103286384976,0.9254385964912281,211,545.0,sequence_alignment
2JLI,2JLJ,A,A,100,115,0.98,1.0,1.0,0.8695652173913043,100,490.0,sequence_alignment
3Q6L,3RZY,A,A,131,139,1.0,1.0,1.0,0.9424460431654677,131,670.0,sequence_alignment
