protein_id,cluster_id,protein_fold,cluster_fold
1ABA,cluster_1ABA,4,4
1AHO,cluster_1AHO,4,3
1AIE,cluster_1AIE,3,4
1AKG,cluster_1AKG,1,2
1ATG,cluster_1ATG,1,5
1BGF,cluster_1BGF,4,2
1BX7,cluster_1BX7,4,2
1BYI,cluster_1BYI,1,5
1CCR,cluster_1CCR,2,5
1CYO,cluster_1CYO,5,2
1DF4,cluster_1DF4,1,5
1E5K,cluster_1E5K,2,3
1ES5,cluster_1ES5,5,3
1ETL,cluster_1ETL,3,3
1ETM,cluster_1ETM,5,1
1ETN,cluster_1ETN,4,4
1EW4,cluster_1EW4,2,2
1F8R,cluster_1F8R,3,3
1FF4,cluster_1FF4,1,4
1FK5,cluster_1FK5,4,2
1GCO,cluster_1GCO,4,4
1GK7,cluster_1GK7,4,3
1GVD,cluster_1GVD,1,3
1GXU,cluster_1GXU,2,1
1H6V,cluster_1H6V,2,2
1HJE,cluster_1HJE,5,4
1I71,cluster_1I71,3,3
1IDP,cluster_1IDP,4,2
1IFR,cluster_1IFR,2,3
1K8U,cluster_1K8U,4,2
1KMM,cluster_1KMM,4,4
1KNG,cluster_1KNG,4,1
1KR4,cluster_1KR4,3,3
1KYC,cluster_1KYC,1,5
1LR7,cluster_1LR7,4,1
1MF7,cluster_1MF7,4,2
1N7E,cluster_1N7E,1,5
1NKD,cluster_1NKD,4,1
1NKO,cluster_1NKO,5,1
1NLS,cluster_1NLS,1,5
1NNX,cluster_1NNX,2,2
1NOA,cluster_1NOA,3,4
1NOT,cluster_1NOT,2,3
1O06,cluster_1O06,2,1
1O08,cluster_1O08,4,5
1OB4,cluster_1OB4,5,1
1OB7,cluster_1OB7,2,4
1OPD,cluster_1OPD,4,2
1P9I,cluster_1P9I,4,2
1PEF,cluster_1PEF,4,5
1PEN,cluster_1PEN,3,5
1PMY,cluster_1PMY,4,4
1PZ4,cluster_1PZ4,5,2
1Q9B,cluster_1Q9B,4,2
1QAU,cluster_1QAU,5,3
1QKI,cluster_1QKI,1,1
1QTO,cluster_1QTO,5,2
1R29,cluster_1R29,2,5
1R7J,cluster_1R7J,1,1
1RJU,cluster_1RJU,5,4
1RRO,cluster_1RRO,1,5
1SAU,cluster_1SAU,4,1
1TGR,cluster_1TGR,4,1
1TZV,cluster_1TZV,4,4
1U06,cluster_1U06,5,2
1U7I,cluster_1U7I,2,3
1U9C,cluster_1U9C,5,1
1UHA,cluster_1UHA,5,1
1UKU,cluster_1KR4,2,3
1ULR,cluster_1ULR,1,4
1UOY,cluster_1UOY,2,5
1USE,cluster_1USE,2,3
1USM,cluster_1USM,3,5
1UTG,cluster_1UTG,3,4
1V05,cluster_1V05,3,4
1V70,cluster_1V70,3,4
1VRZ,cluster_1VRZ,2,3
1W2L,cluster_1W2L,4,4
1WBE,cluster_1WBE,4,3
1WHI,cluster_1WHI,4,1
1WLY,cluster_1WLY,3,5
1WPA,cluster_1WPA,5,2
1X3O,cluster_1X3O,4,3
1XY1,cluster_1XY1,3,3
1XY2,cluster_1XY2,3,3
1Y6X,cluster_1Y6X,3,5
1YJO,cluster_1YJO,2,5
1YZM,cluster_1YZM,5,5
1Z21,cluster_1Z21,2,3
1ZCE,cluster_1ZCE,2,2
1ZVA,cluster_1ZVA,3,1
2A50,cluster_2A50,5,4
2AGK,cluster_2AGK,2,2
2AH1,cluster_2AH1,3,5
2B0A,cluster_2B0A,4,4
2BCM,cluster_2BCM,4,4
2BF9,cluster_2BF9,1,5
2BRF,cluster_2BRF,3,4
2C71,cluster_2C71,2,5
2CE0,cluster_2CE0,3,2
2CG7,cluster_2CG7,3,5
2COV,cluster_2COV,5,3
2CWS,cluster_2CWS,3,4
2D5W,cluster_2D5W,5,5
2DKO,cluster_2DKO,2,2
2DPL,cluster_2DPL,1,5
2DSX,cluster_2DSX,5,4
2E10,cluster_2E10,3,5
2E3H,cluster_2E3H,1,4
2EAQ,cluster_2EAQ,1,4
2EHP,cluster_2EHP,2,3
2EHS,cluster_1X3O,1,3
2ERW,cluster_2ERW,2,3
2ETX,cluster_2ETX,5,1
2FB6,cluster_2FB6,4,5
2FG1,cluster_2FG1,1,1
2FN9,cluster_2FN9,5,2
2FQ3,cluster_2FQ3,1,2
2G69,cluster_2G69,4,1
2G7O,cluster_2G7O,2,2
2G7S,cluster_2G7S,5,1
2GKG,cluster_2GKG,1,5
2GOM,cluster_2GOM,1,4
2GXG,cluster_2GXG,3,1
2GZQ,cluster_2GZQ,3,5
2HQK,cluster_2HQK,5,1
2HYK,cluster_2HYK,5,1
2I24,cluster_2I24,1,4
2I49,cluster_2I49,1,3
2IBL,cluster_2IBL,3,2
2IGD,cluster_2IGD,3,1
2IMF,cluster_2IMF,1,3
2IP6,cluster_2IP6,5,5
2IVY,cluster_2IVY,3,3
2J32,cluster_2J32,4,4
2J9W,cluster_2J9W,3,1
2JKU,cluster_2JKU,1,1
2JLI,cluster_2JLI,2,4
2JLJ,cluster_2JLI,3,4
2MCM,cluster_1NOA,1,4
2NLS,cluster_2NLS,5,2
2NR7,cluster_2NR7,1,4
2NUH,cluster_1KR4,1,3
2O6X,cluster_2O6X,3,2
2OA2,cluster_2OA2,5,4
2OCT,cluster_2OCT,1,4
2OHW,cluster_2OHW,4,4
2OKT,cluster_2OKT,3,5
2OL9,cluster_2OL9,1,1
2OLX,cluster_2OLX,4,3
2PKT,cluster_2PKT,5,1
2PLT,cluster_2PLT,1,2
2PMR,cluster_2PMR,4,4
2POF,cluster_2POF,2,4
2PPN,cluster_2PPN,2,5
2PSF,cluster_2PSF,2,4
2PTH,cluster_2PTH,5,3
2Q4N,cluster_2Q4N,4,2
2Q52,cluster_1WBE,2,3
2QJL,cluster_2QJL,1,5
2R16,cluster_2R16,2,1
2R6Q,cluster_2R6Q,2,3
2RB8,cluster_2RB8,1,4
2RE2,cluster_2RE2,2,2
2RFR,cluster_2RFR,3,2
2V9V,cluster_2V9V,5,1
2VE8,cluster_2VE8,3,1
2VH7,cluster_2VH7,5,5
2VIM,cluster_2VIM,5,5
2VPA,cluster_2VPA,5,2
2VQ4,cluster_2VQ4,4,4
2VY8,cluster_2VY8,2,5
2VYO,cluster_2C71,3,5
2W1V,cluster_2W1V,2,5
2W2A,cluster_2W2A,5,3
2W6A,cluster_2W6A,5,3
2WJ5,cluster_2WJ5,5,2
2WUJ,cluster_2WUJ,5,1
2WW7,cluster_2WW7,4,3
