protein_id,n_residues,max_support,hash,stratum
1OB4,5,4,901c05c99dd665b4a06778197631e9dbd9ce47048d947a11403ebcf1be7fecde,0
1OB7,5,4,ba3e64de87329b2ac2730fd92148da9922ae7d7559e943eb13d9d94f33881123,0
2OLX,4,4,b0837f8f5f8986e31175651dd7c07c58f2292e2389db991acb86fcf1f222f670,0
4G14,5,5,b953a9a2a41295a8f645c919100879397a262a50115a1949d784b4a6c1b0a0bb,0
1YJO,6,6,66aee33792e4620281680384b5dbff3b1cb4243fa673c80ee1f243d2d702638c,0
2OL9,6,6,2f6edd68b9aef57a4430dd3e2fdc02d1c4ca2adb341364074732e8d1ca386aa6,0
3FVA,6,6,4bfb89e3bf68f626a082857d3c5a855f4d2bec7fa1605d1a6ffa3aaca28ee247,0
3NVG,6,6,f466091aafaf53cfc7c904478052197831b997114a5d27278b73522398d00498,0
3Q2X,6,6,4d7e97e491af19e87abc7a9e8e2f6f73b226b610b2f90b8050d8c014fa0c8deb,0
3HYD,7,7,3b9473ee2d3d50c736ae796be5017f482d8a1280b8e797bf619597c313e8131b,0
1XY2,8,8,0b95acdc8246b44d8eb0458026d739205ea5cd6df29fa3150fc172c2d1e5624a,0
1ETL,12,12,9c29c02b845d006475b53058b3f034d1be50becc98e2447d101607d4b87c33e6,0
1ETM,12,12,a7706176d713c06f1a2a6670ece38d6b94157df85523f3e73c3bae6815206280,0
1ETN,12,12,f27de6516ed66484ccb19dfb5b391fdb76cb6522be2d324ad583382f318d6df5,0
3MD4,12,12,d6a374a83bfc76d2857fc69c506a3cbf4c3f3adbcc77b704c0e408689fcd9014,0
3MD5,12,12,d13ce8288a14272a4ae638f86c020bca04c67b1cdf7e9d425bacb59036c37f15,0
3PZZ,12,12,7b00e1ecfc03c92d93a44907ec2f0424c50407fdffcd3108c25693205971a2f2,0
1HJE,13,13,e871424aef73e845b5b7ea94bd8091694e95429b8801a4266827797b008ac3b4,0
1NOT,13,13,efd551ed3fb77c31ce0c55b0e77407bc12cab3ea46ccd89f9b0bfeb2efc5cf04,0
1VRZ,13,13,401981f7860f11f6916e5cf0fe2a4496951a1d9b96d77e7bed55ba7afaa90606,0
1XY1,16,13,168d8dcca20e1a61d9c092290d0b3b0e08df83abd98edc93afbde45bedc10a7b,0
1KYC,15,15,c1f681da061275124ea01239a46ad478d4ad22e3e598a130254f1d8e3f6b41fa,0
1AKG,16,16,2c6e6578ad47ba0452ad3c58a8cf58af2180605fa9a99fd42745ad85fe986735,0
1PEF,18,16,351210820ebc151ec67229eaa3dceb584f5eadde4512ee1e76e9ea5fa54afef8,0
1PEN,16,16,f1d246d7b70e006be2f7227d2d90670bce7e9eb1c85d5905e89bce10b440f1a2,0
1GK7,39,17,dbe8fab967bb6e9fc7d35a12b11fdd3fcdb7a55d1c21fdb98c5f0c32b504084f,0
1O06,20,17,f63bc86f80ac62108bc1557181088fd9330bf3b508b9e44bacfd6a9107db2175,0
1P9I,29,17,23190d26126fb412f4e263374a4a2760d549fc5a7e272f7694a6f8a89d6aa300,0
1USE,40,18,dc32d63ff7a2541d17afbd020b6bedb450c40efa63108b3b2131716b262fa85a,0
1AIE,31,22,4dc7106b24766e16f768f669edd72a40ed7cfe9be28ca3d22e728b27460d0b92,0
2JKU,35,25,cc4979423a72d98b04eb4640c1742bb5e7fa2e01508d56722ace8ee16f8266d1,0
3FOD,48,25,3580af1407376c9adca6b11f963b7c05586b02f0f260f3121bd76acfcd376d99,0
2BF9,35,26,58c9fcb0d2b0c85d946ed7de76e6938a1fc1bb4e577616a81b58773acdca2765,0
2G7O,68,28,27d905c468405370b8e4c1366eb30fa42f251777eaa71eb4497b0104771fe56a,0
4AXY,54,28,80cb10e973dfbfeb5675cf3751f06aa2e5918530bb0ef729914daa9d0bd59bc3,0
1DF4,57,29,19c38969244f66345c409e0f054e0d09a2e6aaf8967689276628ac023df80bc7,0
1YZM,46,30,12d6b331b71cd970f9ef71e9d600e40f1f6cc9c93ebcbc87bc6953460c1721b5,0
3V1A,48,31,04e874ab13b41474b9519d22cb849d990d90db89b354b9839f4697b7acc6c704,0
1BX7,51,32,304fe56ea37072c996abcd6e578592f7a5a482a4b6039c6bbb8952d4e397894c,0
1ZVA,75,32,6153de37099aa1e321f44d7508cf737764d6a00420e4a60863cd25df4a58b132,0
2IBL,108,32,b607b2ccbe611b52a1ef656152187ad282dad64b969a9fc892c26192e435ad75,0
1NKD,59,33,2c855638dcdcd7e6a5d1138b5d59ba42056262e2deeedb8e80370b9b8ea45a87,0
2NLS,36,34,40e69bc29c34f5938d786c97daf34ad11f40b063516c4c37da4ab30a3fdd417d,0
2W6A,117,34,dcad6ad568e08f7364e55b88981ee6c83b4b85f373d21d1a59a994be608eab83,0
1RJU,36,36,76440fa8f7953885dbdeecfd9c810ad7e154635774ba2d4a831df94f48a96724,0
3E7R,40,36,1617af67cb6a1803ab9f92e267615561bcbb59de4c1134cd8c38d262e378b416,0
1WPA,107,38,75f53e150bc1a33a81fbad69a62db17944fe6430805c75cc400b156e2ed9170d,0
3UCI,72,38,13a1e5a22d27bf9423e2f777769d9b3d095099f61e8337ac66873f835cda2d9a,0
6RXN,45,38,a2312834697b5e522e8274b0393622d492c22e74ea5981583deb3ebdb788bad0,0
2CG7,90,39,be9e751391dee9f45c9df51c9d66e7b2de47d9b85f6f4dd042bc17ca02853715,0
1Q9B,43,41,f50f9b9f0953078b753e09358a044e62dc488262ba50c931aaddab2cdc5f38d6,0
1UTG,70,41,d5be4f3ebf1592548acccc2794df643f0d5ddd0dd6e7b4448064c3b9c02d7802,0
2WJ5,96,41,24a1e4bf56dd0e2ec01974c18108ffb38495c73a1f85926fe4c7a6ca7d46a4bf,0
3A0M,142,41,e7d73b37bd78aa2aa2d722e7def3865aebdf7373bbf3a7180626714a494c4f37,0
3MGN,272,41,37a22b5b20aa127ad63f3c6519ff68f2b6b3c1430b9825016ee891654dbdbae1,0
2IGD,61,42,16e2ba0964f12890af3ee0733fce02dffdba49c11d519ad1914362f57b3b58d2,0
3TYS,75,42,4c4993f0f1aba4fce53d1189da44bfe9fe4f1a089609d54baf98e5ed382a62ee,0
3NGG,94,43,c032b880f1ff679e5b2edc6c47ccf6b388e4f2fec5ef7587415840d8f56e8d36,0
3Q6L,131,43,67468b61d195c5df24db5aeed9292cd5bc79ebfe03eb878b167821461a4f84d2,0
3RZY,139,43,c48b84edf7cfcc5df597e09774d0c21b4ca2a5fa901e87e44bbc0ee1ee1f6232,0
