protein_id,n_residues,seconds,cached
1AKG,16,0.2497395999962464,False
1AIE,31,0.40071189997252077,False
1AHO,64,1.8754832999547943,False
1ABA,87,2.5838199999998324,False
1BX7,51,1.0374317999812774,False
1BGF,124,3.931399099994451,False
1CCR,111,3.4629088999936357,False
1CYO,88,2.497916800028179,False
1DF4,57,0.9384139999747276,False
1ATG,231,10.828480699972715,False
1ETL,12,0.13059419998899102,False
1ETM,12,0.12222820002352819,False
1ETN,12,0.10277100000530481,False
1BYI,224,9.908697200007737,False
1E5K,188,7.290048900002148,False
1EW4,106,2.708822100015823,False
1FF4,65,1.6914244000217877,False
1FK5,93,2.5283322999603115,False
1GK7,39,0.3976336999912746,False
1GVD,52,1.0957130000460893,False
1ES5,260,12.77143189997878,False
1GXU,88,3.013418299960904,False
1HJE,13,0.18103060004068539,False
1I71,83,2.871394000016153,False
1IDP,441,15.586394399986602,False
1IFR,113,3.274400299997069,False
1K8U,89,1.8768220000201836,False
1GCO,1044,52.08228490001056,False
1KNG,144,6.465999499952886,False
1KR4,110,4.841576800041366,False
1KYC,15,0.26125759998103604,False
1LR7,73,2.176888499991037,False
1MF7,194,8.455709000001661,False
1N7E,95,2.3183057999704033,False
1NKD,59,1.2304428999777883,False
1NKO,122,3.6192014000262134,False
1F8R,1932,96.07249779999256,False
1NLS,237,11.778571100032423,False
1NNX,93,2.9585942999692634,False
1NOT,13,0.18500489997677505,False
1O06,20,0.22899919998599216,False
1KMM,1499,67.95715430000564,False
1OB4,16,0.1656235999544151,False
1OB7,16,0.17079479998210445,False
1NOA,113,4.30205090000527,False
1P9I,29,0.36191300000064075,False
1PEF,18,0.22431560000404716,False
1PEN,16,0.22126989997923374,False
1OPD,85,2.9108780999667943,False
1PMY,123,4.566252299991902,False
1PZ4,113,3.099819299997762,False
1Q9B,43,1.1777415999677032,False
1O08,221,9.766278900031466,False
1QAU,112,2.9887620999943465,False
1QTO,122,3.56133639998734,False
1R29,122,3.203830799960997,False
1RJU,36,0.7095890000346117,False
1R7J,90,2.254043699998874,False
1RRO,108,3.221709900011774,False
1SAU,114,4.186577999964356,False
1TGR,104,2.833225299953483,False
1U06,55,1.5901929000392556,False
1TZV,141,5.37241350003751,False
1U7I,267,9.668797800026368,False
1UHA,82,2.8321609999984503,False
1U9C,221,11.173966499976814,False
1UKU,102,2.84845209994819,False
1ULR,87,2.7307094000279903,False
1UOY,64,1.9107209999929182,False
1USE,40,0.48564500000793487,False
1UTG,70,1.5358615000150166,False
1USM,77,2.133295600011479,False
1V05,96,3.0631055000121705,False
1VRZ,21,0.28357120003784075,False
1V70,105,3.194216799980495,False
1W2L,97,2.564647999999579,False
1WBE,204,6.781900899950415,False
1WHI,122,4.878349900012836,False
1WPA,107,3.5548006999888457,False
1X3O,80,3.3860094999545254,False
1XY1,16,0.22289719997206703,False
1XY2,8,0.11121420003473759,False
1Y6X,87,2.997722000000067,False
1YJO,6,0.08245429996168241,False
1YZM,46,1.2795466000097804,False
1Z21,96,3.549527199997101,False
1H6V,2927,159.59166299999924,False
1ZVA,75,1.600783700007014,False
1WLY,322,19.187598299991805,False
1ZCE,146,5.943820599990431,False
2AGK,233,10.22110020002583,False
2B0A,186,7.814671300002374,False
2A50,457,19.505211199983023,False
2BF9,36,0.7108314000070095,False
2BRF,100,4.056008599989582,False
2C71,205,9.302874899993185,False
2CE0,99,3.116433799965307,False
2BCM,413,18.81495410000207,False
2CG7,90,2.220313099969644,False
2CWS,227,9.966162400029134,False
2AH1,939,54.28824099997291,False
2COV,534,21.71031250001397,False
2DKO,253,13.520635200024117,False
2DSX,52,1.514389600022696,False
2DPL,565,28.626097699976526,False
2E3H,81,2.6300013000145555,False
2E10,439,19.968001500004902,False
2EAQ,89,2.470790699997451,False
2EHS,75,2.2631153000402264,False
2ERW,53,1.308860299992375,False
2EHP,248,11.692129599978216,False
2FB6,116,4.724640899978112,False
2D5W,1214,66.15019790001679,False
2ETX,389,18.850957499991637,False
2FG1,157,7.312061699980404,False
2FQ3,85,2.874803700018674,False
2G7O,68,1.3051141999894753,False
2G69,99,3.6487841000198387,False
1QKI,3912,185.25603380001849,False
2GKG,122,4.724637899955269,False
2G7S,190,6.570756300003268,False
2GOM,121,4.147238100005779,False
