protocol,mode,protein_id,cluster_id,fold,n_residues,pcc,spearman,rmse_z
cluster,graph+center0,1ABA,cluster_1ABA,4,87,0.6307981576446579,0.7168815783776044,0.7790415114480884
cluster,graph+center0,1AHO,cluster_1AHO,3,64,0.6493731485288262,0.745406884285149,0.7650046370441992
cluster,graph+center0,1AIE,cluster_1AIE,4,31,0.6938890559715197,0.4346774193548387,0.7327737459213484
cluster,graph+center0,1AKG,cluster_1AKG,2,16,0.4943806032206067,0.6740252008725229,0.8838340575930506
cluster,graph+center0,1ATG,cluster_1ATG,5,231,0.5283181018144155,0.5805536639120799,0.8550469247772337
cluster,graph+center0,1BGF,cluster_1BGF,2,124,0.5966484567610044,0.4330747939264417,0.8049253491267604
cluster,graph+center0,1BX7,cluster_1BX7,2,51,0.5861824986603231,0.2520361990950226,0.8738938498749549
cluster,graph+center0,1BYI,cluster_1BYI,5,224,0.533590803155867,0.591791852976306,0.8513097188354567
cluster,graph+center0,1CCR,cluster_1CCR,5,111,0.5235162569472634,0.5383840801440112,0.8521577839178509
cluster,graph+center0,1CYO,cluster_1CYO,2,88,0.6456815160484227,0.558836220376226,0.772339273103467
cluster,graph+center0,1DF4,cluster_1DF4,5,57,0.9251488135026427,0.7945942442312679,0.5552043845968333
cluster,graph+center0,1E5K,cluster_1E5K,3,188,0.7556318779742632,0.7524979479203202,0.666697289032588
cluster,graph+center0,1ES5,cluster_1ES5,3,260,0.6400059530221133,0.7197921119062732,0.774062194714879
cluster,graph+center0,1ETL,cluster_1ETL,3,12,0.7329345846615835,0.6847311331250231,0.7800339793091868
cluster,graph+center0,1ETM,cluster_1ETM,1,12,0.6443536106380374,0.42480196730966624,0.8167875137589781
cluster,graph+center0,1ETN,cluster_1ETN,4,12,-0.18446467433910482,0.007391404949863532,1.2098987866477504
cluster,graph+center0,1EW4,cluster_1EW4,2,106,0.61771828150912,0.6516291233229612,0.788481515029038
cluster,graph+center0,1F8R,cluster_1F8R,3,1932,0.7820945404187702,0.7527314552293052,0.6724839539828186
cluster,graph+center0,1FF4,cluster_1FF4,4,65,0.6246752763132871,0.5776942493160562,0.7847847465662227
cluster,graph+center0,1FK5,cluster_1FK5,2,93,0.563180196946444,0.5207975082855884,0.8307633942182648
cluster,graph+center0,1GCO,cluster_1GCO,4,1044,0.6513476972864625,0.6302530171312891,0.7659592529643675
cluster,graph+center0,1GK7,cluster_1GK7,3,39,0.7858938170782693,0.5635912755838673,0.6487362025891013
