protein_id,cluster_id,protein_fold,cluster_fold,n_residues
1ABA,cluster_1ABA,4,4,87
1AHO,cluster_1AHO,4,3,64
1AIE,cluster_1AIE,3,4,31
1AKG,cluster_1AKG,1,2,16
1ATG,cluster_1ATG,1,5,231
1BGF,cluster_1BGF,4,2,124
1BX7,cluster_1BX7,4,2,51
1BYI,cluster_1BYI,1,5,224
1CCR,cluster_1CCR,2,5,111
1CYO,cluster_1CYO,5,2,88
1DF4,cluster_1DF4,1,5,57
1E5K,cluster_1E5K,2,3,188
1ES5,cluster_1ES5,5,3,260
1ETL,cluster_1ETL,3,3,12
1ETM,cluster_1ETM,5,1,12
1ETN,cluster_1ETN,4,4,12
1EW4,cluster_1EW4,2,2,106
1F8R,cluster_1F8R,3,3,1932
1FF4,cluster_1FF4,1,4,65
1FK5,cluster_1FK5,4,2,93
1GCO,cluster_1GCO,4,4,1044
1GK7,cluster_1GK7,4,3,39
1GVD,cluster_1GVD,1,3,52
1GXU,cluster_1GXU,2,1,88
1H6V,cluster_1H6V,2,2,2927
1HJE,cluster_1HJE,5,4,13
1I71,cluster_1I71,3,3,83
1IDP,cluster_1IDP,4,2,441
1IFR,cluster_1IFR,2,3,113
1K8U,cluster_1K8U,4,2,89
1KMM,cluster_1KMM,4,4,1499
1KNG,cluster_1KNG,4,1,144
1KR4,cluster_1KR4,3,3,110
1KYC,cluster_1KYC,1,5,15
1LR7,cluster_1LR7,4,1,73
1MF7,cluster_1MF7,4,2,194
1N7E,cluster_1N7E,1,5,95
1NKD,cluster_1NKD,4,1,59
1NKO,cluster_1NKO,5,1,122
1NLS,cluster_1NLS,1,5,237
1NNX,cluster_1NNX,2,2,93
1NOA,cluster_1NOA,3,4,113
1NOT,cluster_1NOT,2,3,13
1O06,cluster_1O06,2,1,20
1O08,cluster_1O08,4,5,221
1OB4,cluster_1OB4,5,1,16
1OB7,cluster_1OB7,2,4,16
1OPD,cluster_1OPD,4,2,85
1P9I,cluster_1P9I,4,2,29
1PEF,cluster_1PEF,4,5,18
1PEN,cluster_1PEN,3,5,16
1PMY,cluster_1PMY,4,4,123
1PZ4,cluster_1PZ4,5,2,113
1Q9B,cluster_1Q9B,4,2,43
1QAU,cluster_1QAU,5,3,112
1QKI,cluster_1QKI,1,1,3912
1QTO,cluster_1QTO,5,2,122
1R29,cluster_1R29,2,5,122
1R7J,cluster_1R7J,1,1,90
1RJU,cluster_1RJU,5,4,36
1RRO,cluster_1RRO,1,5,108
1SAU,cluster_1SAU,4,1,114
1TGR,cluster_1TGR,4,1,104
1TZV,cluster_1TZV,4,4,141
1U06,cluster_1U06,5,2,55
1U7I,cluster_1U7I,2,3,267
1U9C,cluster_1U9C,5,1,221
1UHA,cluster_1UHA,5,1,82
1UKU,cluster_1KR4,2,3,102
1ULR,cluster_1ULR,1,4,87
1UOY,cluster_1UOY,2,5,64
1USE,cluster_1USE,2,3,40
1USM,cluster_1USM,3,5,77
1UTG,cluster_1UTG,3,4,70
1V05,cluster_1V05,3,4,96
1V70,cluster_1V70,3,4,105
1VRZ,cluster_1VRZ,2,3,21
1W2L,cluster_1W2L,4,4,97
1WBE,cluster_1WBE,4,3,204
1WHI,cluster_1WHI,4,1,122
1WLY,cluster_1WLY,3,5,322
1WPA,cluster_1WPA,5,2,107
1X3O,cluster_1X3O,4,3,80
1XY1,cluster_1XY1,3,3,16
1XY2,cluster_1XY2,3,3,8
1Y6X,cluster_1Y6X,3,5,87
1YJO,cluster_1YJO,2,5,6
1YZM,cluster_1YZM,5,5,46
1Z21,cluster_1Z21,2,3,96
1ZCE,cluster_1ZCE,2,2,146
1ZVA,cluster_1ZVA,3,1,75
2A50,cluster_2A50,5,4,457
2AGK,cluster_2AGK,2,2,233
2AH1,cluster_2AH1,3,5,939
2B0A,cluster_2B0A,4,4,186
2BCM,cluster_2BCM,4,4,413
2BF9,cluster_2BF9,1,5,36
2BRF,cluster_2BRF,3,4,100
