protocol,mode,protein_id,cluster_id,fold,n_residues,pcc,spearman,rmse_z
cluster,graph+center0,1ABA,cluster_1ABA,4,87,0.6213441996109117,0.7134460290996562,0.7859575014318227
cluster,graph+center0,1AHO,cluster_1AHO,3,64,0.6404028866599853,0.739111024670959,0.7733821139980043
cluster,graph+center0,1AIE,cluster_1AIE,4,31,0.7111552918324326,0.44516129032258067,0.7173105550552509
cluster,graph+center0,1AKG,cluster_1AKG,2,16,0.5052516208569506,0.6239883955675758,0.8772084189222051
cluster,graph+center0,1ATG,cluster_1ATG,5,231,0.5351179343265718,0.5771783887034779,0.8502829060928673
cluster,graph+center0,1BGF,cluster_1BGF,2,124,0.5938621885343895,0.43342727617253024,0.8073457740304165
cluster,graph+center0,1BX7,cluster_1BX7,2,51,0.5873780386298099,0.23755656108597284,0.8679805388603917
cluster,graph+center0,1BYI,cluster_1BYI,5,224,0.540419160298851,0.6014166852472503,0.8461682384567281
cluster,graph+center0,1CCR,cluster_1CCR,5,111,0.53083345991782,0.55440331551833,0.8479627350923258
cluster,graph+center0,1CYO,cluster_1CYO,2,88,0.6425601602586607,0.571701552669089,0.7754498348836029
cluster,graph+center0,1DF4,cluster_1DF4,5,57,0.9209402931445432,0.815400570391496,0.5396083780257751
cluster,graph+center0,1E5K,cluster_1E5K,3,188,0.7573291882225716,0.7509971474030614,0.6648285976254238
cluster,graph+center0,1ES5,cluster_1ES5,3,260,0.6429187389787718,0.7186102466757455,0.7718064572402334
cluster,graph+center0,1ETL,cluster_1ETL,3,12,0.8020571678352693,0.7068192341935722,0.7293645565768087
cluster,graph+center0,1ETM,cluster_1ETM,1,12,0.6099329776708882,0.3854684518180305,0.84172758806841
cluster,graph+center0,1ETN,cluster_1ETN,4,12,-0.14594430522455584,0.018478512374658834,1.1972125843144028
cluster,graph+center0,1EW4,cluster_1EW4,2,106,0.611561398233975,0.6569193022328479,0.7939336127597221
cluster,graph+center0,1F8R,cluster_1F8R,3,1932,0.7820352570688198,0.7536684031415488,0.6710823788238492
cluster,graph+center0,1FF4,cluster_1FF4,4,65,0.62190604320101,0.5900851189722771,0.7869620556025247
cluster,graph+center0,1FK5,cluster_1FK5,2,93,0.5643430097846983,0.528630844727879,0.830299740944901
cluster,graph+center0,1GCO,cluster_1GCO,4,1044,0.6568125301641935,0.6334892524638788,0.7610401558369979
cluster,graph+center0,1GK7,cluster_1GK7,3,39,0.804788619264557,0.5478010027765606,0.6250061470585037
cluster,graph+center0,1GVD,cluster_1GVD,3,52,0.7004270659693849,0.6027619475877303,0.7299055224132948
cluster,graph+center0,1GXU,cluster_1GXU,1,88,0.6484016654580813,0.635447440891976,0.7752105988412119
cluster,graph+center0,1H6V,cluster_1H6V,2,2927,0.48492702985677894,0.5485907808263479,0.8874966211939888
cluster,graph+center0,1HJE,cluster_1HJE,4,13,0.6807370368295973,0.6758241758241759,0.807974916283883
cluster,graph+center0,1I71,cluster_1I71,3,83,0.554045770756405,0.5900787678269167,0.8330256059604756
cluster,graph+center0,1IDP,cluster_1IDP,2,441,0.7534656075993804,0.8743859247548773,0.6706084559692588
cluster,graph+center0,1IFR,cluster_1IFR,3,113,0.6591913906153921,0.7224271509608637,0.7767752784575747
cluster,graph+center0,1K8U,cluster_1K8U,2,89,0.5032947817739287,0.36511902076863195,0.8825607548882306
cluster,graph+center0,1KMM,cluster_1KMM,4,1499,0.7216443813352453,0.7497685539199831,0.7005707915958479
cluster,graph+center0,1KNG,cluster_1KNG,1,144,0.506811350794012,0.46902059132307533,0.8676678424472754
cluster,graph+center0,1KR4,cluster_1KR4,3,110,0.6171546558722338,0.5649514003365979,0.789862245293731
cluster,graph+center0,1KYC,cluster_1KYC,5,15,0.7646503789432567,0.7499999999999999,0.7203649449349729
cluster,graph+center0,1LR7,cluster_1LR7,1,73,0.5887259593715107,0.6794141013877704,0.8323410255681439
cluster,graph+center0,1MF7,cluster_1MF7,2,194,0.6794768466489662,0.766434853725859,0.7550438156457177
cluster,graph+center0,1N7E,cluster_1N7E,5,95,0.5424649570739838,0.6695199068108336,0.8414833876718016
cluster,graph+center0,1NKD,cluster_1NKD,1,59,0.6774771433109109,0.7126366252163404,0.798291479233726
cluster,graph+center0,1NKO,cluster_1NKO,1,122,0.4985618748001235,0.7129042011884992,0.8869969122739791
