protocol,mode,protein_id,cluster_id,fold,n_residues,pcc,spearman,rmse_z
cluster,graph+center0,1ABA,cluster_1ABA,4,87,0.6517842778779884,0.7195425343170231,0.7638812140247919
cluster,graph+center0,1AHO,cluster_1AHO,3,64,0.6456471730350879,0.7415606864117529,0.7666251487377088
cluster,graph+center0,1AIE,cluster_1AIE,4,31,0.6757168596251104,0.46048387096774196,0.7516378627419186
cluster,graph+center0,1AKG,cluster_1AKG,2,16,0.4928410754311938,0.6975719327807334,0.8723749008887426
cluster,graph+center0,1ATG,cluster_1ATG,5,231,0.5327380694066294,0.5764102629060777,0.852845462731744
cluster,graph+center0,1BGF,cluster_1BGF,2,124,0.6135137938156225,0.4389285169418418,0.7922309927234714
cluster,graph+center0,1BX7,cluster_1BX7,2,51,0.5865587808989259,0.26796380090497735,0.8635022955976351
cluster,graph+center0,1BYI,cluster_1BYI,5,224,0.5393746222926391,0.6072442224966611,0.8473074856632251
cluster,graph+center0,1CCR,cluster_1CCR,5,111,0.5205127629009522,0.5276300001926403,0.8544889394787641
cluster,graph+center0,1CYO,cluster_1CYO,2,88,0.6473610963311027,0.5667350588886819,0.7675648386503772
cluster,graph+center0,1DF4,cluster_1DF4,5,57,0.9140525464972769,0.8153357531760437,0.5592987940298522
cluster,graph+center0,1E5K,cluster_1E5K,3,188,0.7625107643371521,0.7553315893301624,0.660112070386165
cluster,graph+center0,1ES5,cluster_1ES5,3,260,0.6435977220882892,0.7228167583367978,0.7712182855337301
cluster,graph+center0,1ETL,cluster_1ETL,3,12,0.6930939514291834,0.662643032056474,0.7957384779738447
cluster,graph+center0,1ETM,cluster_1ETM,1,12,0.570580061061402,0.4798688889979563,0.8504644176334604
cluster,graph+center0,1ETN,cluster_1ETN,4,12,-0.12915493149811827,0.007391404949863532,1.2249193156195441
cluster,graph+center0,1EW4,cluster_1EW4,2,106,0.6106985070304537,0.6483844802582306,0.7926694377399777
cluster,graph+center0,1F8R,cluster_1F8R,3,1932,0.7785288180013604,0.7525055121847607,0.6690627818966894
cluster,graph+center0,1FF4,cluster_1FF4,4,65,0.622654488324768,0.5939094614587651,0.7854059947784525
cluster,graph+center0,1FK5,cluster_1FK5,2,93,0.5777146927535196,0.5311897346323606,0.8233399302910687
cluster,graph+center0,1GCO,cluster_1GCO,4,1044,0.6546631957418496,0.6344720465633603,0.7667090333868414
cluster,graph+center0,1GK7,cluster_1GK7,3,39,0.7939002454514892,0.6338377456368852,0.6314489359663907
cluster,graph+center0,1GVD,cluster_1GVD,3,52,0.7037329992068323,0.6180017503702246,0.7209447463243273
cluster,graph+center0,1GXU,cluster_1GXU,1,88,0.6116061126371781,0.6147011558048608,0.8018982682752551
cluster,graph+center0,1H6V,cluster_1H6V,2,2927,0.48205081083634205,0.5496820380576489,0.8933046483894788
cluster,graph+center0,1HJE,cluster_1HJE,4,13,0.7381186720151646,0.6648351648351648,0.7499310134364388
cluster,graph+center0,1I71,cluster_1I71,3,83,0.5566348685174992,0.5728979175888885,0.8315301661209549
cluster,graph+center0,1IDP,cluster_1IDP,2,441,0.7401907552459036,0.8658339593433012,0.6798766905056327
cluster,graph+center0,1IFR,cluster_1IFR,3,113,0.6518910270610724,0.7254172159604945,0.7784397213914451
cluster,graph+center0,1K8U,cluster_1K8U,2,89,0.5065018613722103,0.3749164747926142,0.879232029872717
cluster,graph+center0,1KMM,cluster_1KMM,4,1499,0.7173542109170892,0.7472335067521169,0.7029343866251938
cluster,graph+center0,1KNG,cluster_1KNG,1,144,0.516180379781266,0.4909522402965204,0.8619656556966268
cluster,graph+center0,1KR4,cluster_1KR4,3,110,0.6165266887479967,0.5675166357614263,0.7896657397088542
cluster,graph+center0,1KYC,cluster_1KYC,5,15,0.7771924468141439,0.7857142857142856,0.6961024088750669
cluster,graph+center0,1LR7,cluster_1LR7,1,73,0.5889951245073209,0.6584957615875384,0.8287710681016014
cluster,graph+center0,1MF7,cluster_1MF7,2,194,0.6780677156485632,0.760867233852432,0.7572961582981439
cluster,graph+center0,1N7E,cluster_1N7E,5,95,0.540843316602014,0.646472352418945,0.8413676487032711
cluster,graph+center0,1NKD,cluster_1NKD,1,59,0.6825394231720282,0.7296452172145323,0.7954409776157874
cluster,graph+center0,1NKO,cluster_1NKO,1,122,0.4886840704177293,0.7067644575837182,0.8990581158825566
cluster,graph+center0,1NLS,cluster_1NLS,5,237,0.5169745188400018,0.7379499792159839,0.8662083521985536
cluster,graph+center0,1NNX,cluster_1NNX,2,93,0.7546084506979406,0.8143865356541322,0.6665996089722671
cluster,graph+center0,1NOA,cluster_1NOA,4,113,0.5507455361634113,0.5017154549360984,0.8381615028170111
cluster,graph+center0,1NOT,cluster_1NOT,3,13,0.5673553551835795,0.6208791208791209,0.8566418298619322
cluster,graph+center0,1O06,cluster_1O06,1,20,0.9195066539964467,0.6932330827067669,0.4235175842976181
cluster,graph+center0,1O08,cluster_1O08,5,221,0.343416830693509,0.6211291544922608,0.9665752475134864
cluster,graph+center0,1OB4,cluster_1OB4,1,16,0.5368895241735123,0.4588235294117647,0.8719169722006812
cluster,graph+center0,1OB7,cluster_1OB7,4,16,0.5612190191584256,0.8550407024168906,0.8371792170082887
cluster,graph+center0,1OPD,cluster_1OPD,2,85,0.41675217127302333,0.4374850375518188,0.9140984998243598
cluster,graph+center0,1P9I,cluster_1P9I,2,29,0.6608461990581056,0.4916256157635467,0.7586441114259617
cluster,graph+center0,1PEF,cluster_1PEF,5,18,0.8532749340647693,0.8617131062951496,0.5640266257029305
cluster,graph+center0,1PEN,cluster_1PEN,5,16,0.47981373556203316,0.4032377839281032,0.8825897512040212
cluster,graph+center0,1PMY,cluster_1PMY,4,123,0.6802385727663497,0.5963395051103948,0.7573896335912992
cluster,graph+center0,1PZ4,cluster_1PZ4,2,113,0.6760518944346544,0.6794060588028832,0.7454752542313665
cluster,graph+center0,1Q9B,cluster_1Q9B,2,43,0.7741277677590932,0.7546058592570221,0.6504123611328408
cluster,graph+center0,1QAU,cluster_1QAU,3,112,0.6578182178060603,0.6278368018810906,0.7634434693757515
cluster,graph+center0,1QKI,cluster_1QKI,1,3912,0.5261304142994699,0.5938228521328502,0.9051069359795344
cluster,graph+center0,1QTO,cluster_1QTO,2,122,0.5932099381789104,0.6128477959190158,0.8065137396816886
cluster,graph+center0,1R29,cluster_1R29,5,122,0.6045215659953206,0.5803148188428421,0.7988429962753534
cluster,graph+center0,1R7J,cluster_1R7J,1,90,0.782461861653242,0.5913502301534825,0.6482090948796341
cluster,graph+center0,1RJU,cluster_1RJU,4,36,0.36553695128936087,0.16885456885456887,0.9412373627098167
cluster,graph+center0,1RRO,cluster_1RRO,5,108,0.2846538884638059,0.21779900214082057,0.9748171016651712
cluster,graph+center0,1SAU,cluster_1SAU,1,114,0.6317056333659135,0.6338072095264815,0.7906036180089525
cluster,graph+center0,1TGR,cluster_1TGR,1,104,0.713510510678692,0.6507627021655751,0.7163740432290769
cluster,graph+center0,1TZV,cluster_1TZV,4,141,0.8122507529753796,0.7665989192736592,0.6143151410288162
cluster,graph+center0,1U06,cluster_1U06,2,55,0.5169701964021328,0.3148685943620876,0.8598712376464815
cluster,graph+center0,1U7I,cluster_1U7I,3,267,0.7538890297116668,0.7871405136512343,0.6725695002330007
cluster,graph+center0,1U9C,cluster_1U9C,1,221,0.582375299437595,0.40870674091256465,0.8224927398038603
cluster,graph+center0,1UHA,cluster_1UHA,1,82,0.6405117789255462,0.6900379849042827,0.7680509364763048
cluster,graph+center0,1UKU,cluster_1KR4,3,102,0.694748408068352,0.5392875318152373,0.7291704480005473
cluster,graph+center0,1ULR,cluster_1ULR,4,87,0.5737539967866814,0.6176635425170051,0.8330656284329807
cluster,graph+center0,1UOY,cluster_1UOY,5,64,0.6790787993379975,0.6216646253226125,0.7520499063757912
cluster,graph+center0,1USE,cluster_1USE,3,40,0.1232006813536199,-0.1277673545966229,1.1391110367905997
cluster,graph+center0,1USM,cluster_1USM,5,77,0.8147463251891178,0.7151974025957785,0.6079300054588387
cluster,graph+center0,1UTG,cluster_1UTG,4,70,0.6105135441133296,0.5246655994042022,0.8057821279337999
cluster,graph+center0,1V05,cluster_1V05,4,96,0.6136316006521214,0.5718607143867748,0.804960889526189
cluster,graph+center0,1V70,cluster_1V70,4,105,0.534329078779664,0.6207779553056405,0.8486709866760702
cluster,graph+center0,1VRZ,cluster_1VRZ,3,21,0.6972430669748718,0.7699806693672444,0.7679039020476491
cluster,graph+center0,1W2L,cluster_1W2L,4,97,0.5756953760700565,0.4148722837789793,0.8192226740850053
cluster,graph+center0,1WBE,cluster_1WBE,3,204,0.566409968342474,0.6190779425682225,0.8247208270866576
cluster,graph+center0,1WHI,cluster_1WHI,1,122,0.5296358087716013,0.6350924672990176,0.8530011679816816
cluster,graph+center0,1WLY,cluster_1WLY,5,322,0.6809591216210659,0.7120050766601899,0.7402198592281253
cluster,graph+center0,1WPA,cluster_1WPA,2,107,0.5893916458729063,0.3706965592344696,0.8130608530102468
cluster,graph+center0,1X3O,cluster_1X3O,3,80,0.5189335285036972,0.5426778169210446,0.8587971039493345
cluster,graph+center0,1XY1,cluster_1XY1,3,16,0.6679172350876699,0.5511144894914154,1.0391617975643814
cluster,graph+center0,1XY2,cluster_1XY2,3,8,0.5587404697214432,0.3273268353539886,0.8752684818520137
cluster,graph+center0,1Y6X,cluster_1Y6X,5,87,0.5038041154354762,0.5442905896507512,0.8717743173455377
cluster,graph+center0,1YJO,cluster_1YJO,5,6,0.3559310869618864,0.2571428571428572,1.060759296564411
cluster,graph+center0,1YZM,cluster_1YZM,5,46,0.7153941401581391,0.6026273602185488,0.7625242125997111
cluster,graph+center0,1Z21,cluster_1Z21,3,96,0.6254895375280526,0.639324192832118,0.7826262289841954
cluster,graph+center0,1ZCE,cluster_1ZCE,2,146,0.7512301018352672,0.7878938032988638,0.6926177045186147
cluster,graph+center0,1ZVA,cluster_1ZVA,1,75,0.5518932300443247,0.5360048944605633,0.8351905137638261
cluster,graph+center0,2A50,cluster_2A50,4,457,0.5579481343849813,0.6211272855279948,0.8439956316981092
cluster,graph+center0,2AGK,cluster_2AGK,2,233,0.6794489208689739,0.7135022343988632,0.7415650126772169
cluster,graph+center0,2AH1,cluster_2AH1,5,939,0.5304167091780215,0.5391019982320507,0.8636059984615428
cluster,graph+center0,2B0A,cluster_2B0A,4,186,0.6117567406617084,0.6367278013473466,0.800018433169606
cluster,graph+center0,2BCM,cluster_2BCM,4,413,0.5690168955116628,0.5111977884533578,0.8240402237554189
cluster,graph+center0,2BF9,cluster_2BF9,5,36,0.6074290741663693,0.5314370305103355,0.8258555202118677
cluster,graph+center0,2BRF,cluster_2BRF,4,100,0.7560049354981578,0.7019394642220529,0.6951784299580762
cluster,graph+center0,2C71,cluster_2C71,5,205,0.6358589099731704,0.6757558736538316,0.806820500527721
cluster,graph+center0,2CE0,cluster_2CE0,2,99,0.5921410331699558,0.5905879225732854,0.8083960582148063
cluster,graph+center0,2CG7,cluster_2CG7,5,90,0.5065108491063323,0.5016381029171559,0.8670634045704527
cluster,graph+center0,2COV,cluster_2COV,3,534,0.7873893438242807,0.7423647261931606,0.631337308972764
cluster,graph+center0,2CWS,cluster_2CWS,4,227,0.6728055760802808,0.7179416417191248,0.752614081393553
cluster,graph+center0,2D5W,cluster_2D5W,5,1214,0.7033291996353023,0.6705980899279889,0.7232717027736417
cluster,graph+center0,2DKO,cluster_2DKO,2,253,0.8003058660068223,0.6887019547055238,0.603644887607923
cluster,graph+center0,2DPL,cluster_2DPL,5,565,0.47154182296288777,0.5280512797402742,0.896636846583423
cluster,graph+center0,2DSX,cluster_2DSX,4,52,0.34455914700022255,0.2515742070089976,0.9395293747850215
cluster,graph+center0,2E10,cluster_2E10,5,439,0.7703269655591419,0.8029916507028869,0.6463472712708375
cluster,graph+center0,2E3H,cluster_2E3H,4,81,0.6893789370809472,0.6878281788560116,0.7279243952309936
cluster,graph+center0,2EAQ,cluster_2EAQ,4,89,0.6813091605440396,0.473363211179348,0.7450579095492869
cluster,graph+center0,2EHP,cluster_2EHP,3,248,0.7692294268104721,0.7955064126905714,0.6571371828156328
cluster,graph+center0,2EHS,cluster_1X3O,3,75,0.6518612221037882,0.6651588216721565,0.7813644403947253
cluster,graph+center0,2ERW,cluster_2ERW,3,53,0.3210619643140081,0.10587642394123083,1.0081713227286773
cluster,graph+center0,2ETX,cluster_2ETX,1,389,0.5194713182033136,0.5358191108183461,0.8675387722530994
cluster,graph+center0,2FB6,cluster_2FB6,5,116,0.7763690350251284,0.6863742001075285,0.6877152137470353
cluster,graph+center0,2FG1,cluster_2FG1,1,157,0.6166714603227539,0.5568916636391542,0.788734142372057
cluster,graph+center0,2FN9,cluster_2FN9,2,560,0.6006139535765109,0.5832205653097473,0.8021684299238947
cluster,graph+center0,2FQ3,cluster_2FQ3,2,85,0.6903424273464813,0.6932577682235684,0.7468288711619442
cluster,graph+center0,2G69,cluster_2G69,1,99,0.6368902624433119,0.6436898187495929,0.7914086585271534
cluster,graph+center0,2G7O,cluster_2G7O,2,68,0.7597102074234744,0.4642253854090499,0.7013707988733355
cluster,graph+center0,2G7S,cluster_2G7S,1,190,0.6274194702009699,0.602549057267958,0.7932013743204038
cluster,graph+center0,2GKG,cluster_2GKG,5,122,0.6978827315510906,0.5327726650420175,0.7394802275243549
cluster,graph+center0,2GOM,cluster_2GOM,4,121,0.5818875689029696,0.44360895890493407,0.8194101627680166
cluster,graph+center0,2GXG,cluster_2GXG,1,140,0.7191243843318665,0.6802155666038217,0.7147144099385602
cluster,graph+center0,2GZQ,cluster_2GZQ,5,191,0.44973842355997323,0.3704479100682726,0.9110121250244935
cluster,graph+center0,2HQK,cluster_2HQK,1,213,0.7949677921850643,0.7357723161114853,0.6728914236654443
cluster,graph+center0,2HYK,cluster_2HYK,1,237,0.6065776008755442,0.5765954709573734,0.7982066604994424
cluster,graph+center0,2I24,cluster_2I24,4,113,0.5101897486370307,0.45971853726810175,0.8622202575137901
cluster,graph+center0,2I49,cluster_2I49,3,398,0.6783987223359562,0.6781677396343632,0.7477458038213354
cluster,graph+center0,2IBL,cluster_2IBL,2,108,0.6552435002560271,0.6720382601467803,0.8632339544386022
cluster,graph+center0,2IGD,cluster_2IGD,1,61,0.5097251065423449,0.5150056851531987,0.8630020231760978
cluster,graph+center0,2IMF,cluster_2IMF,3,203,0.6295497640855634,0.6245559724865402,0.7786424152249534
cluster,graph+center0,2IP6,cluster_2IP6,5,87,0.617966041129974,0.4050522172470013,0.7919907840585737
cluster,graph+center0,2IVY,cluster_2IVY,3,88,0.4860581876609735,0.4172592185284188,0.8793329405132522
cluster,graph+center0,2J32,cluster_2J32,4,244,0.8152019173664565,0.712202603048699,0.5995236600843091
