protocol,mode,protein_id,cluster_id,fold,n_residues,pcc,spearman,rmse_z
cluster,graph+identity0,1ABA,cluster_1ABA,4,87,0.6381146777939685,0.7154417460542202,0.7740725578458676
cluster,graph+identity0,1AHO,cluster_1AHO,3,64,0.6322311323175778,0.7417438386914385,0.7778382076348765
cluster,graph+identity0,1AIE,cluster_1AIE,4,31,0.6772941841541282,0.5008064516129033,0.7444632743569132
cluster,graph+identity0,1AKG,cluster_1AKG,2,16,0.48926433693267024,0.7181753232004174,0.894282508927331
cluster,graph+identity0,1ATG,cluster_1ATG,5,231,0.5258546718221114,0.5824077774496578,0.8576847815023434
cluster,graph+identity0,1BGF,cluster_1BGF,2,124,0.6131655672101646,0.45004429634527904,0.7925733342106054
cluster,graph+identity0,1BX7,cluster_1BX7,2,51,0.5497058785221628,0.22497737556561084,0.8941351936340681
cluster,graph+identity0,1BYI,cluster_1BYI,5,224,0.5540454873882946,0.6019457333797316,0.837646863237008
cluster,graph+identity0,1CCR,cluster_1CCR,5,111,0.5118186575163314,0.519390031955727,0.85934995758652
cluster,graph+identity0,1CYO,cluster_1CYO,2,88,0.6179607856281124,0.5558686522840325,0.7936282455440155
cluster,graph+identity0,1DF4,cluster_1DF4,5,57,0.9166513436107055,0.8127430645579466,0.5626807445494096
cluster,graph+identity0,1E5K,cluster_1E5K,3,188,0.7593305354611727,0.7475413329749333,0.6615513799572122
cluster,graph+identity0,1ES5,cluster_1ES5,3,260,0.6471840292132434,0.7159440515716373,0.7721644638972284
cluster,graph+identity0,1ETL,cluster_1ETL,3,12,0.8031745214310714,0.6994565338373893,0.7196397285398652
cluster,graph+identity0,1ETM,cluster_1ETM,1,12,0.5969537545750244,0.4012018580146848,0.8235883262074208
cluster,graph+identity0,1ETN,cluster_1ETN,4,12,-0.24893267662335672,-0.0997839668231577,1.2523579150380155
cluster,graph+identity0,1EW4,cluster_1EW4,2,106,0.6414282447931364,0.6617409224392875,0.7706412296715384
cluster,graph+identity0,1F8R,cluster_1F8R,3,1932,0.7732936262468273,0.7561393134414046,0.680050653921491
cluster,graph+identity0,1FF4,cluster_1FF4,4,65,0.6065788125614964,0.5847528928768311,0.7977390618772328
cluster,graph+identity0,1FK5,cluster_1FK5,2,93,0.5332629671501807,0.5060932167353456,0.848866487752284
cluster,graph+identity0,1GCO,cluster_1GCO,4,1044,0.6612504820689794,0.6222811911404001,0.7539357398049314
cluster,graph+identity0,1GK7,cluster_1GK7,3,39,0.778921232642652,0.4818057600178176,0.6406266750731123
cluster,graph+identity0,1GVD,cluster_1GVD,3,52,0.7346453017161617,0.6009263410901189,0.699293045665569
cluster,graph+identity0,1GXU,cluster_1GXU,1,88,0.618712317278321,0.5988420473830041,0.7942529717184985
cluster,graph+identity0,1H6V,cluster_1H6V,2,2927,0.49295019885145896,0.5515089693423719,0.8847516910981242
cluster,graph+identity0,1HJE,cluster_1HJE,4,13,0.6815904793119527,0.6208791208791209,0.7821703271142587
cluster,graph+identity0,1I71,cluster_1I71,3,83,0.583707436916689,0.5892286463429337,0.8120765998668341
cluster,graph+identity0,1IDP,cluster_1IDP,2,441,0.7581122001604712,0.8705932130240505,0.6687734389415599
cluster,graph+identity0,1IFR,cluster_1IFR,3,113,0.6543424566277674,0.7210256879499103,0.7774661543573698
cluster,graph+identity0,1K8U,cluster_1K8U,2,89,0.513575237379113,0.3503249503136526,0.8736780691927027
cluster,graph+identity0,1KMM,cluster_1KMM,4,1499,0.7124530215291817,0.7327845663962054,0.7112835815827161
cluster,graph+identity0,1KNG,cluster_1KNG,1,144,0.55659750923821,0.5086016514137798,0.8375874266480242
cluster,graph+identity0,1KR4,cluster_1KR4,3,110,0.6110142942276334,0.5630714299110205,0.7943909829678739
cluster,graph+identity0,1KYC,cluster_1KYC,5,15,0.7926310057209632,0.7642857142857141,0.6998050138272661
cluster,graph+identity0,1LR7,cluster_1LR7,1,73,0.5974712472498593,0.667427707564186,0.8200123321164658
cluster,graph+identity0,1MF7,cluster_1MF7,2,194,0.6741377020276162,0.762602852032901,0.7581165821657884
cluster,graph+identity0,1N7E,cluster_1N7E,5,95,0.5506495208946035,0.6664333682481787,0.8350482789843015
cluster,graph+identity0,1NKD,cluster_1NKD,1,59,0.681822658136012,0.7190367655043198,0.7853473066400707
cluster,graph+identity0,1NKO,cluster_1NKO,1,122,0.5073436003918105,0.7213075208800803,0.8788376820584985
cluster,graph+identity0,1NLS,cluster_1NLS,5,237,0.5205706561285913,0.7311241037207891,0.8626938521546288
cluster,graph+identity0,1NNX,cluster_1NNX,2,93,0.7919125357711798,0.808418257054223,0.6211852956214499
cluster,graph+identity0,1NOA,cluster_1NOA,4,113,0.556274074564649,0.5136508623419702,0.834245293080984
cluster,graph+identity0,1NOT,cluster_1NOT,3,13,0.6207555191115524,0.6208791208791209,0.8595261845835083
cluster,graph+identity0,1O06,cluster_1O06,1,20,0.9379047853062641,0.7097744360902255,0.36667008883022034
cluster,graph+identity0,1O08,cluster_1O08,5,221,0.33801726439242874,0.6020943209447697,0.9706898110002468
cluster,graph+identity0,1OB4,cluster_1OB4,1,16,0.5424386385579263,0.3852941176470588,0.9014647301422493
cluster,graph+identity0,1OB7,cluster_1OB7,4,16,0.5931832002942246,0.8329656412529433,0.8269223088372168
cluster,graph+identity0,1OPD,cluster_1OPD,2,85,0.4278381675337142,0.40822947151880384,0.9106098277939175
cluster,graph+identity0,1P9I,cluster_1P9I,2,29,0.6711761316559519,0.4660098522167487,0.7459511037737626
cluster,graph+identity0,1PEF,cluster_1PEF,5,18,0.8076260329050684,0.8493292053663571,0.6222898035828158
cluster,graph+identity0,1PEN,cluster_1PEN,5,16,0.5573653955029992,0.5268581264462079,0.8608269191251757
cluster,graph+identity0,1PMY,cluster_1PMY,4,123,0.6831798315119905,0.5944918451571767,0.7560312387061309
cluster,graph+identity0,1PZ4,cluster_1PZ4,2,113,0.7154420286204479,0.6785161034461562,0.715677587235689
cluster,graph+identity0,1Q9B,cluster_1Q9B,2,43,0.7804184656118267,0.7586831772878285,0.6487695356855224
cluster,graph+identity0,1QAU,cluster_1QAU,3,112,0.6676810792848695,0.6209859802301911,0.7531389231634857
cluster,graph+identity0,1QKI,cluster_1QKI,1,3912,0.5633176452895222,0.6346076744642151,0.8510132276840788
cluster,graph+identity0,1QTO,cluster_1QTO,2,122,0.6221279945879838,0.6107031921254678,0.7833205344808214
cluster,graph+identity0,1R29,cluster_1R29,5,122,0.6100491657099579,0.5856813116384095,0.7962632768034448
cluster,graph+identity0,1R7J,cluster_1R7J,1,90,0.7584587953764655,0.6250833450794833,0.6721646897837502
cluster,graph+identity0,1RJU,cluster_1RJU,4,36,0.4014654486344759,0.26203346203346206,0.9459299597709605
cluster,graph+identity0,1RRO,cluster_1RRO,5,108,0.30057968445902,0.23170380261431375,0.9661653254461174
cluster,graph+identity0,1SAU,cluster_1SAU,1,114,0.6390857203254195,0.6394532200582185,0.7827944236428244
cluster,graph+identity0,1TGR,cluster_1TGR,1,104,0.7208540660593453,0.6799478284744654,0.7116785390744053
cluster,graph+identity0,1TZV,cluster_1TZV,4,141,0.7990530823898399,0.7590899799325355,0.6228385121922873
cluster,graph+identity0,1U06,cluster_1U06,2,55,0.45805004585648024,0.2780713938293964,0.8974850915482214
cluster,graph+identity0,1U7I,cluster_1U7I,3,267,0.7592481068456739,0.7962796125522877,0.6703506539828191
cluster,graph+identity0,1U9C,cluster_1U9C,1,221,0.5909610064544513,0.4331507431188666,0.8171046896033936
