protocol,mode,protein_id,cluster_id,fold,n_residues,pcc,spearman,rmse_z
cluster,graph+center0,1ABA,cluster_1ABA,4,87,0.6652032462250707,0.7248553333330546,0.7527857054684113
cluster,graph+center0,1AHO,cluster_1AHO,3,64,0.6268891790257736,0.7181629826819264,0.7815788191016397
cluster,graph+center0,1AIE,cluster_1AIE,4,31,0.617815221315779,0.44032258064516133,0.79862572647075
cluster,graph+center0,1AKG,cluster_1AKG,2,16,0.5395481286597975,0.772627140738154,0.8446016625147605
cluster,graph+center0,1ATG,cluster_1ATG,5,231,0.5273630953721166,0.5677968370600709,0.8568463347142495
cluster,graph+center0,1BGF,cluster_1BGF,2,124,0.5999838421885495,0.4513251916502617,0.8007774774479478
cluster,graph+center0,1BX7,cluster_1BX7,2,51,0.5459187154534156,0.26171945701357463,0.8916852920087671
cluster,graph+center0,1BYI,cluster_1BYI,5,224,0.5391396086902904,0.6121615407088563,0.8478535268947585
cluster,graph+center0,1CCR,cluster_1CCR,5,111,0.5163323905303974,0.5265901319966081,0.8583064594358977
cluster,graph+center0,1CYO,cluster_1CYO,2,88,0.6616533772409791,0.5814760351092518,0.7554022792030226
cluster,graph+center0,1DF4,cluster_1DF4,5,57,0.8998347323019109,0.7913533834586468,0.5944920514651527
cluster,graph+center0,1E5K,cluster_1E5K,3,188,0.7533727709285672,0.7535038996509015,0.667512968067102
cluster,graph+center0,1ES5,cluster_1ES5,3,260,0.6519381414154783,0.7184160001950493,0.7653197786625674
cluster,graph+center0,1ETL,cluster_1ETL,3,12,0.7227526885694571,0.662643032056474,0.7425609725029393
cluster,graph+center0,1ETM,cluster_1ETM,1,12,0.6055212647731902,0.4405353735063205,0.8252389778640257
cluster,graph+center0,1ETN,cluster_1ETN,4,12,-0.1226212682741855,0.03695702474931767,1.2246947194570457
cluster,graph+center0,1EW4,cluster_1EW4,2,106,0.6041858774718923,0.6406910486435669,0.797213671919027
cluster,graph+center0,1F8R,cluster_1F8R,3,1932,0.768465495895664,0.7445023604611632,0.6774103093945729
cluster,graph+center0,1FF4,cluster_1FF4,4,65,0.5882363415821856,0.5896480512595357,0.81174922539765
cluster,graph+center0,1FK5,cluster_1FK5,2,93,0.5711522092729363,0.5303467184247617,0.8253527923722166
cluster,graph+center0,1GCO,cluster_1GCO,4,1044,0.6465092136940475,0.6324366318002896,0.7722185086519789
cluster,graph+center0,1GK7,cluster_1GK7,3,39,0.813707645766048,0.6669365867137396,0.6324508789079157
cluster,graph+center0,1GVD,cluster_1GVD,3,52,0.7210244224243428,0.6223132912134512,0.7018634425691324
cluster,graph+center0,1GXU,cluster_1GXU,1,88,0.6308470380990245,0.6208123280673642,0.7888949612844852
cluster,graph+center0,1H6V,cluster_1H6V,2,2927,0.4711110733037627,0.5528491477017139,0.902379553322808
cluster,graph+center0,1HJE,cluster_1HJE,4,13,0.7117244524511118,0.6868131868131868,0.772515407890355
cluster,graph+center0,1I71,cluster_1I71,3,83,0.5774207441927225,0.5728979175888885,0.8181157301779021
cluster,graph+center0,1IDP,cluster_1IDP,2,441,0.7302910872037548,0.8553176732658734,0.6915786915760489
cluster,graph+center0,1IFR,cluster_1IFR,3,113,0.6599886214477632,0.722040397073568,0.7744162225140947
cluster,graph+center0,1K8U,cluster_1K8U,2,89,0.5197203722969324,0.4003251631171903,0.8651715659049601
cluster,graph+center0,1KMM,cluster_1KMM,4,1499,0.7169841049583129,0.7411805602185456,0.7030871712410174
cluster,graph+center0,1KNG,cluster_1KNG,1,144,0.5279183354983443,0.4865112521866328,0.8553871095364171
cluster,graph+center0,1KR4,cluster_1KR4,3,110,0.5960971797695163,0.5517961156799205,0.8047900042620433
cluster,graph+center0,1KYC,cluster_1KYC,5,15,0.7631912917668329,0.7249999999999999,0.723089722286854
cluster,graph+center0,1LR7,cluster_1LR7,1,73,0.6188859511637558,0.6842734502351694,0.8085163092192095
cluster,graph+center0,1MF7,cluster_1MF7,2,194,0.67639165145769,0.7511972437342599,0.7597654229826784
cluster,graph+center0,1N7E,cluster_1N7E,5,95,0.5578277004839908,0.6416850681176841,0.8303255793914122
cluster,graph+center0,1NKD,cluster_1NKD,1,59,0.7232735000656121,0.7495470233155095,0.7792163454385099
cluster,graph+center0,1NKO,cluster_1NKO,1,122,0.4787046660123081,0.7056244083137239,0.9070197775222629
cluster,graph+center0,1NLS,cluster_1NLS,5,237,0.5172539975594613,0.7466540522275864,0.867321054714901
cluster,graph+center0,1NNX,cluster_1NNX,2,93,0.765219534645507,0.8157667000803613,0.656535732428548
cluster,graph+center0,1NOA,cluster_1NOA,4,113,0.5811414368876306,0.5320530148754137,0.815666872269592
cluster,graph+center0,1NOT,cluster_1NOT,3,13,0.5897864478863699,0.46703296703296704,0.828283309685189
cluster,graph+center0,1O06,cluster_1O06,1,20,0.9000173690830501,0.6992481203007518,0.4713669516020797
cluster,graph+center0,1O08,cluster_1O08,5,221,0.34367199914478863,0.6192480179720601,0.9678905665421926
cluster,graph+center0,1OB4,cluster_1OB4,1,16,0.5738249415153382,0.4647058823529412,0.8501839411129064
cluster,graph+center0,1OB7,cluster_1OB7,4,16,0.5942173007771305,0.7579104332955225,0.8121019825544585
cluster,graph+center0,1OPD,cluster_1OPD,2,85,0.4035283653596698,0.4365665261266005,0.9272228163863737
cluster,graph+center0,1P9I,cluster_1P9I,2,29,0.6587337666137955,0.4236453201970442,0.7791977079108089
cluster,graph+center0,1PEF,cluster_1PEF,5,18,0.8192550513841104,0.8864809081527348,0.59270293849504
cluster,graph+center0,1PEN,cluster_1PEN,5,16,0.5976846387264617,0.5548198705872078,0.8118925995805274
cluster,graph+center0,1PMY,cluster_1PMY,4,123,0.6791533072500239,0.5848762745105859,0.7577563324787715
cluster,graph+center0,1PZ4,cluster_1PZ4,2,113,0.7197844274911465,0.7066245532410935,0.7065948505440739
cluster,graph+center0,1Q9B,cluster_1Q9B,2,43,0.7456641123794427,0.7469042585321656,0.6973622128637593
cluster,graph+center0,1QAU,cluster_1QAU,3,112,0.6525840561405212,0.6253083190772674,0.7652094986161673
cluster,graph+center0,1QKI,cluster_1QKI,1,3912,0.4801316606865236,0.5332790748284308,0.960878971303352
cluster,graph+center0,1QTO,cluster_1QTO,2,122,0.5916878315457391,0.6042132046824344,0.8075023298800593
cluster,graph+center0,1R29,cluster_1R29,5,122,0.6002353702082383,0.5612214719384157,0.8021828217776055
cluster,graph+center0,1R7J,cluster_1R7J,1,90,0.7634197674793276,0.5869545533915292,0.6693885438417014
cluster,graph+center0,1RJU,cluster_1RJU,4,36,0.3631189206774924,0.1274131274131274,0.9416992143272147
cluster,graph+center0,1RRO,cluster_1RRO,5,108,0.30020373255975563,0.21397863558386904,0.9686813515401232
cluster,graph+center0,1SAU,cluster_1SAU,1,114,0.6275240607373822,0.629558525848008,0.7949486165984847
