protein_id,n_residues,seconds,cached,max_support,max_edges
1AKG,16,0.2875459000351839,False,16,55
1AIE,31,0.45996499998727813,False,22,79
1AHO,64,2.170414399995934,False,50,242
1ABA,87,2.7642018999904394,False,52,252
1BX7,51,1.0326275000115857,False,32,134
1BGF,124,4.122971200034954,False,52,268
1CYO,88,2.6302897999994457,False,51,241
1CCR,111,4.103158899990376,False,49,236
1DF4,57,0.9953154000104405,False,29,116
1ATG,231,11.71550400002161,False,68,358
1ETL,12,0.13910069997655228,False,12,39
1ETM,12,0.1453701999853365,False,12,39
1ETN,12,0.15670719998888671,False,12,36
1BYI,224,11.015054300019983,False,66,348
1EW4,106,3.3641968000447378,False,51,247
1E5K,188,8.62164250004571,False,63,329
1FF4,65,1.8271169000072405,False,46,216
1FK5,93,3.1357273000176065,False,50,237
1GK7,39,0.5421379000181332,False,17,58
1GVD,52,1.3835913999937475,False,44,209
1ES5,260,14.723648800048977,False,73,392
1GXU,88,2.6584671000018716,False,52,254
1HJE,13,0.1727009000023827,False,13,39
1I71,83,2.804878299997654,False,60,298
1IDP,441,20.373756199958734,False,61,314
1IFR,113,6.291751199983992,False,55,270
1K8U,89,2.9861743000219576,False,47,228
1GCO,1044,67.52535150002223,False,72,395
1KNG,144,5.691900500038173,False,62,322
1KR4,110,3.291087099991273,False,51,245
1KYC,15,0.21095999999670312,False,15,50
1LR7,73,1.860523299954366,False,45,212
1MF7,194,9.791146199975628,False,65,344
1N7E,95,3.1337896999903023,False,52,254
1NKD,59,1.5425641000038013,False,33,142
1NKO,122,4.504777499998454,False,58,288
1F8R,1932,112.45051170000806,False,70,373
1NLS,237,11.947444899997208,False,69,357
1NNX,93,2.929989000025671,False,51,251
1NOT,13,0.15427199995610863,False,13,41
1O06,20,0.26031280000461265,False,17,58
1KMM,1499,74.06059379997896,False,64,328
1OB4,16,0.2953080000006594,False,15,48
1OB7,16,0.2948126000119373,False,15,47
1NOA,113,4.747324599942658,False,58,297
1P9I,29,0.46772660000715405,False,17,58
1PEF,18,0.2217462999979034,False,16,54
1PEN,16,0.22370500001125038,False,16,55
1OPD,85,3.3465026000048965,False,50,247
1PMY,123,4.653112999978475,False,58,298
1PZ4,113,3.349178100004792,False,49,229
1Q9B,43,1.3773723000194877,False,41,196
1O08,221,11.261849100003019,False,68,361
1QAU,112,3.6553152999840677,False,51,247
1QTO,122,4.918058000039309,False,52,246
1R29,122,4.651587900007144,False,54,267
1RJU,36,1.2789836000301875,False,36,168
1R7J,90,3.7021550000063144,False,53,262
1RRO,108,4.732368599972688,False,48,227
1SAU,114,5.426276999991387,False,67,348
1TGR,104,3.3245434000273235,False,49,233
1U06,55,1.8651109999627806,False,48,223
1TZV,141,6.063247899990529,False,61,309
1U7I,267,12.356844699999783,False,55,273
1UHA,82,4.517452999949455,False,45,208
1UKU,102,4.715330399980303,False,48,233
1U9C,221,17.979946499981452,False,71,384
1UOY,64,3.473992499988526,False,52,258
1USE,40,0.8519577999832109,False,18,61
1ULR,87,5.152456499985419,False,54,270
1UTG,70,3.16805530001875,False,41,187
1USM,77,4.346579100005329,False,47,228
1V05,96,6.547532399999909,False,50,247
1VRZ,21,0.4594554000068456,False,21,74
1V70,105,6.6644075000076555,False,54,266
1W2L,97,3.2189284000196494,False,48,224
1WBE,204,8.141990300035104,False,55,269
1WHI,122,5.310088200028986,False,64,335
1WPA,107,3.384881000034511,False,38,170
1X3O,80,2.989313800004311,False,52,255
1XY1,16,0.15501909999875352,False,13,32
1XY2,8,0.08815959998173639,False,8,18
1Y6X,87,2.665154700051062,False,47,228
1YJO,6,0.04947560001164675,False,6,9
1YZM,46,1.0792787999962457,False,30,125
1H6V,2927,191.85866300005,False,76,414
1Z21,96,3.1714179000118747,False,53,266
1ZVA,75,1.777281699993182,False,32,138
1WLY,322,17.725245099980384,False,71,375
1ZCE,146,6.41957490000641,False,63,323
2AGK,233,15.624604400014505,False,68,358
2A50,457,26.24495860002935,False,63,327
2B0A,186,9.206530599971302,False,70,362
2BF9,36,0.8925934000289999,False,27,108
2BRF,100,4.36985930002993,False,58,303
2C71,205,11.459043299953919,False,65,339
2CE0,99,3.7041975999600254,False,54,261
2BCM,413,21.735682199941948,False,62,324
2CG7,90,2.702280300029088,False,39,176
2CWS,227,12.834528300038073,False,65,331
2COV,534,27.16592150001088,False,60,304
2AH1,939,76.19066359999124,False,72,387
2DKO,253,14.747323999996297,False,66,358
2DSX,52,2.0068734000087716,False,48,230
2DPL,565,32.55112170003122,False,65,336
2E3H,81,3.679502599989064,False,57,280
2E10,439,25.6545586999855,False,65,337
2EAQ,89,3.2816942000063136,False,49,226
2EHS,75,2.8936092000221834,False,49,235
2ERW,53,1.7525222999975085,False,45,214
2EHP,248,20.35592609999003,False,68,355
2FB6,116,5.176272400014568,False,56,280
2D5W,1214,84.8485115999938,False,66,355
1QKI,3912,228.690130700008,False,62,327
2ETX,389,28.68582149996655,False,65,330
2FG1,157,9.606664099963382,False,64,332
2FQ3,85,4.518162599997595,False,51,249
2G7O,68,2.1446561999619007,False,28,111
2G69,99,5.205367800022941,False,55,267
2GKG,122,6.873252299963497,False,67,360
2GOM,121,5.593076799996197,False,49,237
2G7S,190,9.59771569998702,False,55,269
2GXG,140,5.363484500034247,False,55,275
2GZQ,191,11.76717180002015,False,63,314
2HQK,213,12.089885199966375,False,66,332
2I24,113,6.526743699971121,False,52,258
2HYK,237,16.316044899984263,False,65,332
2IBL,108,2.8498457000241615,False,32,134
2IGD,61,2.363996699976269,False,42,204
2IP6,87,4.114030800003093,False,51,250
2FN9,560,42.80663949996233,False,71,376
2IVY,88,2.732205900014378,False,44,208
2IMF,203,10.497252399974968,False,59,303
2JKU,35,0.486428500036709,False,25,79
2JLI,100,4.60113080003066,False,62,321
2J9W,200,8.844270700006746,False,54,261
2J32,244,13.089217000000644,False,66,356
2I49,398,28.179591100022662,False,67,352
2NLS,36,1.0147782000130974,False,34,154
2JLJ,115,5.247803500038572,False,64,332
2MCM,112,4.977334499999415,False,60,312
2NUH,104,4.364845100033563,False,54,269
2OA2,132,5.725311099959072,False,55,277
2NR7,194,8.222091800009366,False,62,323
2OCT,192,7.647028399980627,False,63,325
2OL9,6,0.06882990000303835,False,6,9
2OLX,4,0.04476790002081543,False,4,5
2PKT,91,2.8136712000123225,False,54,255
2O6X,306,17.58915169996908,False,70,378
2PLT,98,3.8247946000192314,False,54,265
2OHW,256,11.631605900009163,False,62,321
2PMR,76,2.6482303999946453,False,46,221
2PPN,107,4.1394162000506185,False,59,304
2OKT,342,16.4125698999851,False,66,350
2Q4N,153,4.868919299973641,False,48,216
2PTH,193,9.359210100024939,False,65,342
2QJL,99,3.27944379998371,False,52,248
2POF,440,22.183878100011498,False,62,323
2R16,175,7.927096300001722,False,66,341
2R6Q,138,5.458858199999668,False,58,287
2RB8,93,3.1117918000090867,False,51,251
2Q52,412,19.241260700044222,False,61,314
2PSF,608,31.01391079998575,False,65,344
2RFR,154,5.509804500034079,False,53,251
2V9V,135,4.589218400011305,False,48,234
2VH7,94,3.6247525999788195,False,58,288
2VIM,104,4.010415999975521,False,60,310
2RE2,238,11.751151400036179,False,68,355
2VQ4,106,3.5904407000052743,False,54,260
2VPA,204,5.995432400028221,False,57,289
2VY8,149,5.312704199983273,False,59,297
2VYO,206,9.457689600007143,False,62,323
2W6A,117,3.1209984999732114,False,34,148
2WJ5,96,2.544367899943609,False,41,189
2VE8,515,24.81153040000936,False,59,307
2WUJ,100,4.192415600002278,False,46,226
2W2A,350,16.734383099945262,False,59,304
2WWE,111,4.652956700010691,False,48,232
2WW7,150,7.824222299968824,False,54,272
2X1Q,240,13.062890000001062,False,66,345
2X3M,166,9.550356900028419,False,59,296
2X25,168,11.258456700015813,False,61,306
2X5Y,171,10.341877900005784,False,62,318
2W1V,548,41.6374573999783,False,74,392
2Y0T,101,3.900524199998472,False,55,284
2X9Z,262,14.374181599996518,False,61,315
2Y72,170,6.483654799987562,False,53,267
2XHF,310,16.46950150001794,False,63,323
2Y9F,149,5.799297900055535,False,62,316
2Y7L,319,14.181922199961264,False,65,341
