protein_a,protein_b,chain_a,chain_b,length_a,length_b,identity,coverage_shorter,aligned_pairs,score
1ABA,1QKI,A,A,87,488,0.3116883116883117,0.8850574712643678,77,37.5
1ABA,3MGN,A,H,87,1,1.0,1.0,1,6.0
1AHO,1H6V,A,A,64,490,0.41509433962264153,0.828125,53,37.5
1AHO,1HJE,A,A,64,13,0.36363636363636365,0.8461538461538461,11,22.0
1AHO,1NOT,A,A,64,13,0.45454545454545453,0.8461538461538461,11,30.0
1AHO,1RJU,A,V,64,36,0.4,0.8333333333333334,30,33.0
1AHO,2D5W,A,C,64,5,0.5,0.8,4,8.0
1AHO,2DKO,A,I,64,3,0.6666666666666666,1.0,3,12.0
1AHO,2J32,A,B,64,4,0.5,1.0,4,13.0
1AHO,2NLS,A,A,64,36,0.41935483870967744,0.8611111111111112,31,31.0
1AHO,3MGN,A,H,64,1,1.0,1.0,1,6.0
1AIE,1OB4,A,A,31,5,0.75,0.8,4,13.0
1AIE,1OB7,A,A,31,5,0.75,0.8,4,13.0
1AIE,1X3O,A,A,31,80,0.35714285714285715,0.9032258064516129,28,32.0
1AIE,1YZM,A,A,31,46,0.36,0.8064516129032258,25,28.0
1AIE,2D5W,A,D,31,5,0.4,1.0,5,7.0
1AIE,2FN9,A,A,31,280,0.3333333333333333,0.8709677419354839,27,22.0
1AIE,2IVY,A,A,31,88,0.38461538461538464,0.8387096774193549,26,34.0
1AIE,2NR7,A,A,31,194,0.3333333333333333,0.8709677419354839,27,21.5
1AIE,2OCT,A,A,31,97,0.39285714285714285,0.9032258064516129,28,24.0
1AIE,3HYD,A,A,31,7,0.7142857142857143,1.0,7,16.0
1AIE,3MGN,A,H,31,1,1.0,1.0,1,6.0
1AIE,3UR8,A,A,31,321,0.32142857142857145,0.9032258064516129,28,25.0
1AIE,3VZ9,A,B,31,103,0.34615384615384615,0.8387096774193549,26,29.5
1AIE,4H89,A,A,31,168,0.5,0.8387096774193549,26,30.5
1AKG,1NKO,A,A,16,122,0.38461538461538464,0.8125,13,24.0
1AKG,1PEN,A,A,16,16,0.875,1.0,16,94.0
1AKG,1Q9B,A,A,16,43,0.4,0.9375,15,29.0
1AKG,1TGR,A,A,16,52,0.35714285714285715,0.875,14,20.0
1AKG,1UHA,A,A,16,82,0.3333333333333333,0.9375,15,25.0
1AKG,2BCM,A,A,16,138,0.35714285714285715,0.875,14,26.0
1AKG,2G7O,A,A,16,68,0.3333333333333333,0.9375,15,17.0
1AKG,2NUH,A,A,16,104,0.46153846153846156,0.8125,13,20.5
1AKG,2R16,A,A,16,175,0.3125,1.0,16,26.0
1AKG,3LJI,A,A,16,272,0.46153846153846156,0.8125,13,18.0
1AKG,3M3P,A,A,16,249,0.38461538461538464,0.8125,13,22.5
1AKG,3MGN,A,H,16,1,1.0,1.0,1,6.0
1AKG,3UCI,A,A,16,72,0.3333333333333333,0.9375,15,28.0
1ATG,1VRZ,A,A,231,13,0.6363636363636364,0.8461538461538461,11,20.0
1ATG,1Z21,A,A,231,96,0.3125,0.8333333333333334,80,25.5
1ATG,2D5W,A,C,231,5,0.5,0.8,4,14.0
1ATG,3DRF,A,B,231,8,0.5,1.0,8,17.0
1ATG,3L41,A,B,231,5,0.5,0.8,4,14.0
1ATG,3MEA,A,B,231,3,0.6666666666666666,1.0,3,7.0
1ATG,3MGN,A,H,231,1,1.0,1.0,1,6.0
1ATG,3NVG,A,A,231,6,0.4,0.8333333333333334,5,15.0
1ATG,3Q2X,A,A,231,6,0.3333333333333333,1.0,6,17.0
1ATG,4G14,A,A,231,5,0.75,0.8,4,14.0
1ATG,4J78,A,B,231,5,0.5,0.8,4,11.0
1BGF,2D5W,A,C,124,5,0.75,0.8,4,13.0
1BGF,2J32,A,B,124,4,0.5,1.0,4,14.0
1BGF,2Y7L,A,B,124,7,0.5,0.8571428571428571,6,13.0
1BGF,3FOD,A,A,124,6,0.4,0.8333333333333334,5,10.0
1BGF,3IVV,A,D,124,9,0.375,0.8888888888888888,8,14.0
1BGF,3L41,A,B,124,5,0.5,0.8,4,14.0
1BGF,3MGN,A,H,124,1,1.0,1.0,1,6.0
1BGF,4J78,A,B,124,5,0.6,1.0,5,11.0
1BX7,1HJE,A,A,51,13,0.46153846153846156,1.0,13,19.5
1BX7,1LR7,A,A,51,73,0.4146341463414634,0.803921568627451,41,39.0
1BX7,1OB4,A,A,51,5,0.5,0.8,4,14.0
1BX7,1OB7,A,A,51,5,0.5,0.8,4,14.0
1BX7,3L41,A,B,51,5,0.5,0.8,4,9.0
1BX7,3MD4,A,A,51,6,0.4,0.8333333333333334,5,8.0
1BX7,3MD5,A,A,51,6,0.4,0.8333333333333334,5,9.0
1BX7,3MGN,A,H,51,1,1.0,1.0,1,6.0
1BX7,3Q2X,A,A,51,6,0.4,0.8333333333333334,5,12.0
1BYI,1OB4,A,A,224,5,0.5,0.8,4,13.0
1BYI,1OB7,A,A,224,5,0.5,0.8,4,13.0
1BYI,1W2L,A,A,224,97,0.3,0.8247422680412371,80,35.5
1BYI,1Z21,A,A,224,96,0.3176470588235294,0.8854166666666666,85,28.5
1BYI,2D5W,A,D,224,5,0.5,0.8,4,11.0
1BYI,2R6Q,A,A,224,138,0.3076923076923077,0.8478260869565217,117,44.0
1BYI,2VE8,A,G,224,60,0.3469387755102041,0.8166666666666667,49,26.5
1BYI,3FVA,A,A,224,6,0.6,0.8333333333333334,5,14.0
1BYI,3HYD,A,A,224,7,0.3333333333333333,0.8571428571428571,6,14.0
1BYI,3IVV,A,D,224,9,0.5,0.8888888888888888,8,17.0
1BYI,3MD4,A,A,224,6,0.6,0.8333333333333334,5,14.0
1BYI,3MD5,A,A,224,6,0.4,0.8333333333333334,5,13.0
1BYI,3MGN,A,H,224,1,1.0,1.0,1,6.0
1BYI,3MRE,A,P,224,9,0.375,0.8888888888888888,8,16.0
1BYI,3OBQ,A,B,224,9,0.5,0.8888888888888888,8,19.0
1BYI,3Q2X,A,A,224,6,0.4,0.8333333333333334,5,11.0
1BYI,4G14,A,A,224,5,0.5,0.8,4,12.0
1CCR,1OB4,A,A,109,5,0.75,0.8,4,18.0
1CCR,1OB7,A,A,109,5,0.75,0.8,4,18.0
1CCR,1W2L,A,A,109,97,0.34146341463414637,0.845360824742268,82,100.5
1CCR,1YJO,A,A,109,6,0.3333333333333333,1.0,6,11.0
1CCR,2BF9,A,A,109,35,0.35714285714285715,0.8,28,21.5
1CCR,3L41,A,B,109,5,1.0,0.8,4,22.0
